slide	candidate	timestamp	slug	source
01	002	00:01:39	title	Stanford recording
02	003	00:02:21	age-of-language-models	Stanford recording
03	004	00:02:57	elman-1991-neural-lm	Stanford recording
04	005	00:04:30	next-word-prediction	Stanford recording
05	006	00:06:09	eliciting-outputs	Stanford recording
06	007	00:06:48	contextualization-architecture	Stanford recording
07	008	00:07:48	two-paradigms	Stanford recording
08	009	00:08:57	why-retrieval-solves-issues	Stanford recording
09	011	00:09:57	many-questions	Stanford recording
10	013	00:10:54	train-test-time	Stanford recording
11	014	00:11:57	frozen-rag	Stanford recording
12	015	00:12:09	contextualization-via-retrieval	Stanford recording
13	016	00:15:03	sparse-retrieval	Stanford recording
14	017	00:16:48	dense-retrieval	Stanford recording
15	018	00:17:45	vector-database	Stanford recording
16	019	00:17:51	colbert-late-interaction	Stanford recording
17	022	00:24:57	retrieval-sota-splade-dragon	Stanford recording
18	023	00:25:24	contextualizing-retriever-for-generator	Stanford recording
19	024	00:26:42	replug	Stanford recording
20	025	00:26:48	in-context-ralm	Stanford recording
21	028	00:28:39	retrieve-rerank	Stanford recording
22	033	00:30:06	contextualization-both	Stanford recording
23	034	00:30:51	rag-architecture	Stanford recording
24	035	00:31:27	rag-equations	Stanford recording
25	036	00:31:51	freezing-suboptimal-results	Stanford recording
26	037	00:32:15	frankenstein-rag	Stanford recording
27	038	00:33:21	fid	Stanford recording
28	039	00:33:42	knn-lm	Stanford recording
29	042	00:35:27	retro-architecture	Stanford recording
30	043	00:37:24	retro-plus-plus	Stanford recording
31	046	00:38:00	contextualization-all-the-way	Stanford recording
32	047	00:40:30	realm	Stanford recording
33	048	00:41:15	atlas-retriever-objectives	Stanford recording
34	049	00:42:09	atlas-retriever-continued	Stanford recording
35	050	00:42:36	atlas-loss-functions	Stanford recording
36	051	00:43:33	atlas-pretraining	Stanford recording
37	052	00:44:42	atlas-retriever-update-results	Stanford recording
38	053	00:45:06	atlas-vs-closed-book	Stanford recording
39	064	00:56:36	when-to-retrieve	Stanford recording
40	065	00:57:39	training-at-scale	Stanford recording
41	066	00:58:45	silo-legal-risk	Stanford recording
42	067	01:00:45	lost-in-middle	Stanford recording
43	068	01:01:57	toolformer	Stanford recording
44	069	01:02:15	self-rag	Stanford recording
45	070	01:03:03	instruction-tuning	Stanford recording
46	071	01:04:30	advanced-frozen-rag	Stanford recording
47	073	01:07:36	open-questions	Stanford recording
48	074	01:08:45	multimodal-rag	Stanford recording
49	075	01:10:12	rag-2-0	Stanford recording

# Omitted candidate groups
# 001/077: Stanford opening and closing bumpers.
# 010, 020--021, 026--027, 029--032, 040--041, 044--045: repeated or progressive duplicate states.
# 012, 054--055, 063, 072: pure section/Q&A divider pages without independent teaching content.
# 056--062: Q&A revisits of already retained RAG, Retro, and Atlas slides.
# 076: recruiting/administrative closing page.
