[00:00:12--00:00:14] Hello 大家好,我是小骏
[00:00:14--00:00:17] 今天这期节目我们来到了美国纽约
[00:00:17--00:00:19] 此时正是中国的春节
[00:00:19--00:00:22] 纽约刚刚下过了一场大雪
[00:00:22--00:00:25] 这是近几年以来纽约最冷的一个冬天
[00:00:25--00:00:28] 街道上还有许多没有化开的冰雪
[00:00:28--00:00:30] 但是今天这场对话
[00:00:30--00:00:35] 让我感受到了一种冰冻解封后的人间烟火气息
[00:00:35--00:00:40] 今天坐在我对面的是华人青年科学家谢赛宁
[00:00:40--00:00:45] 他刚刚和图灵奖得主杨立坤一起踏上了创业的旅程
[00:00:45--00:00:51] 他们的Neolab AMI刚刚完成了第一笔超大规模的融资
[00:00:51--00:00:53] 目前团队规模为25人
[00:00:53--00:00:56] 谢赛宁一直告诉我
[00:00:56--00:00:58] 他不是那个天选之子
[00:00:58--00:01:00] 他是普通的那一个
[00:01:00--00:01:03] 那接下来就是我对谢赛宁的访谈
[00:01:03--00:01:05] 伊莱亚给我打电话
[00:01:05--00:01:07] 就我什么都没说我就把我拍下去了
[00:01:07--00:01:08] 他们发给我一个offer
[00:01:08--00:01:10] 然后说我不去抱歉
[00:01:10--00:01:13] 但是有爱的同事一定就有恨
[00:01:13--00:01:15] 就他他是一体两面
[00:01:15--00:01:26] 我今天早上我们在纽约就是布鲁克林派空镜
[00:01:26--00:01:27] 我觉得这里我很喜欢这里
[00:01:27--00:01:29] 就因为我住在时代广场那边
[00:01:29--00:01:32] 我觉得那边还是一个非常刻板印象的纽约
[00:01:32--00:01:36] 但是好像来到这里就是一个充满了艺术气息和生活气息的纽约
[00:01:36--00:01:39] 是啊我觉得Dumbo这边当然非常艺术啊
[00:01:39--00:01:44] 很多电影里面我们之前有个韩国电影叫过往人生里面
[00:01:44--00:01:44] 他们里面
[00:01:45--00:01:47] 拍你可能看到的玄珠玄珠木马
[00:01:47--00:01:50] 然后那边的Dumbo大桥是吧
[00:01:50--00:01:52] 时代广场只有游客才会去
[00:01:52--00:01:55] 真正的纽约人是不会去的
[00:01:55--00:01:56] 但其实NYU附近其实也很好
[00:01:56--00:01:59] 那边叫Greenwich Village
[00:01:59--00:02:01] 然后那边也是一个村
[00:02:01--00:02:04] 然后那边也很有生活气息
[00:02:04--00:02:07] 你为什么会来纽约做学术呀
[00:02:07--00:02:10] 这好像不是一个很多人的选择
[00:02:10--00:02:11] 倒也不是吧
[00:02:11--00:02:14] 但是历史比较长的确实是各种原因吧
[00:02:15--00:02:19] 对的当然也是因为我确实比较向往这个城市
[00:02:19--00:02:22] 向往这个城市里面的很多的元素
[00:02:22--00:02:23] 它的一些人
[00:02:23--00:02:25] 然后包括NYU其实也是
[00:02:25--00:02:30] 然后当然主要的原因还是因为Young啊
[00:02:30--00:02:32] 然后像AI的这些efforts
[00:02:32--00:02:32] 对吧
[00:02:32--00:02:35] NYU确实做的很不错
[00:02:35--00:02:37] 但另一方面NYU还有很强的电影学院
[00:02:37--00:02:38] 对
[00:02:38--00:02:42] 然后我喜欢的很多导演像是Martin Scorsese啊
[00:02:42--00:02:43] 包括最近赵婷啊什么都是NYU的毕业生啊
[00:02:43--00:02:43] 包括最近赵婷啊什么都是NYU的毕业生啊
[00:02:43--00:02:44] 包括最近赵婷啊什么都是NYU的毕业生啊
[00:02:44--00:02:45] 包括最近赵婷啊什么都是NYU的毕业生啊
[00:02:45--00:02:48] 所以也是partly the reason吧
[00:02:48--00:02:51] 也是也是也是也是一些原因
[00:02:51--00:02:52] 对我这个我
[00:02:52--00:02:53] 我昨天跟你说
[00:02:53--00:02:56] 我觉得我来美国现在多少年了
[00:02:56--00:02:57] 13年过来
[00:02:57--00:02:58] 然后13年左右了
[00:02:58--00:03:00] 我这个后训练现在有点崩
[00:03:00--00:03:03] 所以中英夹杂的问题
[00:03:03--00:03:05] 对观众朋友们不好意思
[00:03:05--00:03:06] 我尽量尽量解释啊
[00:03:06--00:03:08] 多多见谅
[00:03:08--00:03:11] 多多见谅多多见谅
[00:03:11--00:03:14] 我好像没有在任何地方找到你的一个播客
[00:03:14--00:03:15] 或者一个访谈
[00:03:15--00:03:18] 所以这是你第一次做一个播客或者访谈吗
[00:03:18--00:03:20] 第一次做播客
[00:03:20--00:03:20] 第一次做播客
[00:03:20--00:03:22] 第一次做访谈
[00:03:22--00:03:23] 对你可能能找到很多
[00:03:23--00:03:25] 我出去在各种conference
[00:03:25--00:03:26] 会议上面
[00:03:26--00:03:27] 的演讲
[00:03:27--00:03:29] 做演讲这些这些很多
[00:03:29--00:03:32] 为什么你之前这么多年都没有上过一个播客
[00:03:32--00:03:34] 或者做一个访谈啊
[00:03:34--00:03:37] 我觉得
[00:03:37--00:03:39] 嗯
[00:03:39--00:03:41] 我不知道我觉得我更适合做一个听众
[00:03:41--00:03:42] 我很喜欢podcast
[00:03:42--00:03:44] 对我经常听很多podcast
[00:03:44--00:03:44] 我的这个
[00:03:44--00:03:45] spotify
[00:03:45--00:03:46] youtube
[00:03:46--00:03:48] 每天上班下班
[00:03:48--00:03:52] 然后睡觉前平时没事都会听一些podcast
[00:03:52--00:03:53] 对
[00:03:53--00:03:56] 然后我觉得我也挺有表达的欲望的
[00:03:56--00:03:58] 或者说我私下里跟朋友也会聊很多东西
[00:03:58--00:04:01] 我跟学生我觉得嗯平时抓大家一起聊天
[00:04:01--00:04:03] 我觉得也很开心
[00:04:03--00:04:06] 但是podcast这件事情
[00:04:06--00:04:06] 对我也不知道啊
[00:04:06--00:04:09] 可能是因为没有人邀请我吧
[00:04:09--00:04:10] 应该不会啊
[00:04:10--00:04:12] 其实对有一些吧
[00:04:12--00:04:14] 但是我觉得还是可能也是因为比较挨人吧
[00:04:14--00:04:22] 我觉得很多时候对觉得嗯不知道哪些话应该说哪些话值得说
[00:04:22--00:04:24] 哪些话大家愿意听啊
[00:04:24--00:04:28] 但我现在我觉得慢慢对年龄大了之后也也还好
[00:04:28--00:04:33] 拥拥有了这个不被人喜欢的勇气
[00:04:33--00:04:35] 我其实在网上看了你的很多很多的信息
[00:04:35--00:04:41] 但是我发现所有人对你的描写都是从上海交大的AGM班开始的
[00:04:41--00:04:44] 那我也很好奇在那之前的谢赛宁是什么样的呀
[00:04:44--00:04:49] 嗯你能不能从以你对这个世界拥有最早的记忆片段为开端
[00:04:49--00:04:53] 来跟我们讲一讲你的童年和成长
[00:04:53--00:04:56] 哦哦OK
[00:04:56--00:04:59] 你看这就是为什么不想做podcast
[00:04:59--00:05:01] 因为确实没准备过
[00:05:01--00:05:03] 或者说你得让我回忆回忆
[00:05:03--00:05:04] 从最早的记忆片段呢
[00:05:04--00:05:07] 当然就是我觉得从小时候开始吧
[00:05:07--00:05:11] 可能四五岁的时候
[00:05:11--00:05:13] 嗯我妈妈带着我去四处旅游
[00:05:14--00:05:16] 就是一开始的记忆
[00:05:16--00:05:17] 哦在哪里旅游
[00:05:17--00:05:19] 呃各种地方对
[00:05:19--00:05:20] 因为她也做一些生意
[00:05:20--00:05:22] 然后四处跑全国会各处跑对吧
[00:05:22--00:05:24] 我记得印象很深对吧
[00:05:24--00:05:26] 这种在上海的这种初印象
[00:05:26--00:05:28] 然后去啊四川啊
[00:05:28--00:05:32] 然后这些就是能想象的各种旅游景点吧
[00:05:32--00:05:39] 哦但是对我如果非要对生爸这个家庭情况就是就是我爸是一个纯粹的私宅
[00:05:39--00:05:42] 嗯哦从来不出门
[00:05:42--00:05:44] 但是他最爱看的事情就是看书
[00:05:44--00:05:47] 所以我家里呃反正有一个书房吧
[00:05:47--00:05:50] 然后几面墙都是都是书
[00:05:50--00:05:53] 所以所以我小时候基本上就处在这种状态之中
[00:05:53--00:05:54] 要么就在外面跑
[00:05:54--00:05:56] 被我妈带着到外面旅游啊
[00:05:56--00:05:59] 要么就在家里面翻一些有的没的啊
[00:05:59--00:06:01] 能看的不能看的书都看一看
[00:06:01--00:06:02] 对
[00:06:02--00:06:04] 然后我觉得这是这是一开始的童年
[00:06:04--00:06:05] 然后到了后呢
[00:06:05--00:06:06] 后来确实
[00:06:06--00:06:10] 我觉得我们这一代人的成长经历还蛮不一样的
