file	source_timestamp	lecture_interval	purpose
figures/alphacode-pipeline.jpg	00:05:10	00:03:48--00:05:42	AlphaCode end-to-end pipeline
figures/large-scale-sampling.jpg	00:06:50	00:06:08--00:07:28	one-million-program sampling
figures/filter-cluster.jpg	00:07:50	00:07:28--00:09:04	filtering and semantic clustering
figures/codeforces-evaluation.jpg	00:09:50	00:09:04--00:13:58	live Codeforces evaluation
figures/pass-k-metrics.jpg	00:15:10	00:14:18--00:16:26	pass@k and 10@k metrics
figures/codecontests-results.jpg	00:17:00	00:16:26--00:18:08	CodeContests ablations
figures/alphacode-tradeoffs.jpg	00:23:40	00:22:42--00:24:34	AlphaCode strengths and weaknesses
figures/alphacode2-overview.jpg	00:26:00	00:25:14--00:26:48	AlphaCode 2 changes
figures/alphacode2-contributions.jpg	00:27:00	00:26:48--00:27:42	AlphaCode 2 contributions
figures/scoring-model.jpg	00:28:30	00:27:42--00:29:18	learned scoring model
figures/alphacode2-sampling.jpg	00:29:50	00:29:18--00:30:42	AlphaCode 2 sampling and evaluation
figures/solve-rate-scaling.jpg	00:31:00	00:30:42--00:32:10	solve rate versus sample budget
figures/alphacode2-percentile.jpg	00:38:30	00:37:18--00:39:02	human percentile result
figures/alphacode2-tradeoffs.jpg	00:39:10	00:39:02--00:40:02	AlphaCode 2 tradeoffs
figures/search-o1-intro.jpg	00:47:20	00:46:56--00:48:02	Search-o1 motivation
figures/reasoning-knowledge-gaps.jpg	00:48:10	00:48:02--00:49:28	knowledge gaps in long reasoning
figures/standard-rag-limitations.jpg	00:49:40	00:49:28--00:50:24	standard RAG limitations
figures/search-o1-framework.jpg	00:53:30	00:50:24--00:54:42	Search-o1 framework comparison
figures/agentic-rag-mechanism.jpg	00:55:50	00:54:42--00:56:22	agentic RAG mechanism
figures/reason-in-documents.jpg	00:56:30	00:56:22--00:58:48	reason-in-documents module
figures/search-o1-example.jpg	00:59:50	00:58:48--01:00:34	worked chemistry example
figures/search-o1-scaling.jpg	01:00:40	01:00:34--01:01:28	document scaling curves
figures/gpqa-results.jpg	01:01:40	01:01:28--01:03:18	GPQA and human comparison
figures/retrieved-doc-scaling.jpg	01:04:20	01:03:18--01:04:38	retrieved-document scaling
figures/multihop-qa.jpg	01:04:50	01:04:38--01:06:12	multi-hop QA results
figures/search-o1-insights.jpg	01:06:30	01:06:12--01:06:46	technical insights
figures/reasoning-quality.jpg	01:06:50	01:06:46--01:08:02	uncertainty reduction
