[00:00:04--00:00:06] Hello 大家好,我是小骏
[00:00:06--00:00:10] 春节前后,一款AI Native的产品Elise
[00:00:10--00:00:12] 引起了小圈层人的关注
[00:00:12--00:00:14] 这是一款还在测试
[00:00:14--00:00:17] 尚且没有全面上线的AI社交产品
[00:00:17--00:00:22] 某种程度上,它展现了AI时代社交产品的一些雏形
[00:00:22--00:00:26] 打造赛博分身,分身替你去主动社交
[00:00:26--00:00:29] 再为你转换成真实世界的连接
[00:00:29--00:00:33] 那今天我邀请了这个产品背后的公司
[00:00:33--00:00:36] 自然选择创始人Tristan张小帆来聊聊
[00:00:36--00:00:39] 他们公司目前有两款产品
[00:00:39--00:00:42] 分别是AI游戏EVE和AI社交Elise
[00:00:42--00:00:45] 他们背后的精神内核都是
[00:00:45--00:00:47] 人类太孤独了
[00:00:47--00:00:54] 当时说实话,我那个项目本身也叫Project HER
[00:00:54--00:00:57] 其实就是要把电影里面的HER做出来
[00:00:57--00:00:59] 但是现在这个东西我也不敢讲
[00:00:59--00:01:02] 就是因为这个HER这个词其实已经脏掉了
[00:01:02--00:01:08] 所谓陪伴就是一个跟你超级对齐的人
[00:01:08--00:01:09] 陪你一起
[00:01:09--00:01:13] 你去面对世界
[00:01:13--00:01:15] 所以你在欧洲是想清楚了什么
[00:01:15--00:01:17] 你觉得网络效应还是可以做的
[00:01:17--00:01:22] 我觉得我是想清楚context的流动吧
[00:01:22--00:01:24] 就是Elise我发的第一条帖子
[00:01:24--00:01:26] 那天晚上一两点发的
[00:01:26--00:01:32] 我说从此以后人类将生活在一个美好的低伤世界
[00:01:32--00:01:36] 低伤世界是很多的科幻小说里面很喜欢去写的
[00:01:36--00:01:38] 就那可能好像意味着一个更高级文明的
[00:01:38--00:01:39] 一个更美好的世界
[00:01:39--00:01:42] 因为那里面会有更少的摩擦
[00:01:42--00:01:43] 然后会有更妙的连接
[00:01:43--00:01:51] 那接下来就是我对Tristan的访谈
[00:01:51--00:01:56] 期待2026年我们和AI共同进步
[00:01:56--00:02:03] 那你还是先给大家打个招呼吧
[00:02:03--00:02:04] 哈喽大家好
[00:02:04--00:02:05] 我叫Tristan
[00:02:05--00:02:07] 我是自然选择的创始人
[00:02:07--00:02:09] 然后我们在做两款产品
[00:02:09--00:02:12] 一个叫eve是一个AI陪伴产品
[00:02:12--00:02:14] 还有一个叫Elise是一个AI社交产品
[00:02:14--00:02:17] 我发现你很喜欢做这种情绪价值的产品
[00:02:17--00:02:17] 为什么呀
[00:02:17--00:02:20] 你能不能给大家先介绍一下你自己
[00:02:20--00:02:20] 对
[00:02:20--00:02:21] 可能做官物
[00:02:21--00:02:23] 做产品的整个的主线
[00:02:23--00:02:25] 好像我确实都一直在做这一类的产品
[00:02:25--00:02:28] 我前一段职业生涯是在做互联网产品
[00:02:28--00:02:29] 当时做这些APP
[00:02:29--00:02:30] 然后有内容平台
[00:02:30--00:02:32] 有陌生社交
[00:02:32--00:02:35] 之后我就开始做恋爱游戏
[00:02:35--00:02:36] 可能恋爱游戏和陌生社交
[00:02:36--00:02:38] 它也都是想要去解决人类的孤单
[00:02:38--00:02:39] 一个是想通过真人
[00:02:39--00:02:42] 然后一个直接通过内容上的一个游戏
[00:02:42--00:02:45] 然后就到了eve这个AI陪伴产品
[00:02:45--00:02:48] 那可能是更极致的来去解决人类的孤单
[00:02:48--00:02:50] 给人情绪价值的产品
[00:02:50--00:02:50] 对
[00:02:50--00:02:51] 然后到了现在的elise
[00:02:51--00:02:58] 那它也是通过AI来去促进真人和真人之间的连接
[00:02:58--00:03:00] 可能本身上也是要解决人类的孤独
[00:03:00--00:03:03] 被你证明说好像确实这是一个主线
[00:03:03--00:03:04] 你能不能展开一点
[00:03:04--00:03:05] 关于你的经历
[00:03:05--00:03:06] 关于我的经历
[00:03:06--00:03:10] 我其实毕业没多久就直接开始做互联网产品了
[00:03:10--00:03:11] 我当时在上海
[00:03:11--00:03:14] 然后毕业了一年多之后
[00:03:14--00:03:16] 其实就开始创业了
[00:03:16--00:03:19] 当时做的第一个产品是类似于
[00:03:19--00:03:20] 现在小宇宙
[00:03:20--00:03:24] 或者是喜马拉雅这样的一个音频的内容平台
[00:03:24--00:03:25] 当时那也是第一款
[00:03:25--00:03:29] 因为我们上了之后很多类似于喜马拉雅这样的产品才上的
[00:03:29--00:03:32] 当时我只觉得听声音的场景
[00:03:32--00:03:35] 其实没有一个很好的产品去承载
[00:03:35--00:03:37] 以及当时过去大家还是听广播
[00:03:37--00:03:41] 其实当时还没有一个个性化分发音频的这样一个平台
[00:03:41--00:03:46] 所以当时做了下一个大家能够去在上面只听自己想听的去订阅
[00:03:46--00:03:47] 当时其实没有这样一个产品
[00:03:47--00:03:50] 所以当时做了下一个音频内容平台
[00:03:50--00:03:53] 然后那个创业持续了大概三四年
[00:03:53--00:03:56] 这种产品它是比较内容密集性的产品
[00:03:56--00:03:58] 到最后你其实需要很多的钱去买版权
[00:03:58--00:04:00] 你需要去做内容
[00:04:00--00:04:05] 所以当时我们其实是没有去竞争过那些融了更多钱的公司
[00:04:05--00:04:06] 对 但当时确实我也很年轻
[00:04:06--00:04:08] 当时可能二岁出头
[00:04:08--00:04:10] 然后很多东西也不懂
[00:04:10--00:04:12] 确实很多东西我丝毫也比较幼稚
[00:04:12--00:04:13] 后来又做这些产品
[00:04:13--00:04:16] 做这些陌生社交相关的
[00:04:16--00:04:17] 但是都没有那个产品那么大
[00:04:17--00:04:19] 对 当时那个产品也是融了几轮
[00:04:19--00:04:20] 可能那个时代的人也不太懂了
[00:04:20--00:04:21] 可能那个时代的人还是知道那款产品的
[00:04:21--00:04:22] 叫窄波
[00:04:22--00:04:24] 对 当时这个名字叫中二
[00:04:24--00:04:26] 也就是因为当时我们说我们要颠覆广播
[00:04:26--00:04:28] 并且它是个性化分发的
[00:04:28--00:04:31] 它是每个人只会听到自己想听的东西
[00:04:31--00:04:33] 所以它不应该是广的
[00:04:33--00:04:34] 它应该是窄的
[00:04:34--00:04:35] 所以它叫窄波
[00:04:35--00:04:36] 当时这个名字也并不是个很好的名字
[00:04:36--00:04:39] 就听起来没有那么可爱
[00:04:39--00:04:40] 没有那么具有传播性吧
[00:04:40--00:04:43] 哎呦 你这么说我突然想到一个问题
[00:04:43--00:04:45] 就是为什么在声音的这个轨道上
[00:04:45--00:04:49] 好像它没有被个性化分发非常充分地改造过
[00:04:49--00:04:50] 其实是因为
[00:04:50--00:04:52] 其实我觉得之前的低维标签
[00:04:52--00:04:55] 确实它可能比较难以去分发音频
[00:04:55--00:04:57] 因为可能你之前对一个音频的描述
[00:04:57--00:04:58] 就是你的标题
[00:04:58--00:05:00] 然后你给它打一些标签 对吧
[00:05:00--00:05:02] 之前其实你没有办法对一个长音频内容
[00:05:02--00:05:04] 做一个非常个性化的理解
[00:05:04--00:05:06] 因为在前AI时代的话
[00:05:06--00:05:09] 你其实只有低维标签的推荐嘛 对吧
[00:05:09--00:05:11] 所以其实我觉得在AI时代
[00:05:11--00:05:13] 倒是可以像你刚刚说的
[00:05:13--00:05:16] 能够对一个音频内容做一个很好的推荐
[00:05:16--00:05:17] 一个很高位的推荐
[00:05:17--00:05:19] 因为其实比如说咱们俩聊天
[00:05:19--00:05:20] 聊完之后
[00:05:20--00:05:21] 可能有几十万token
[00:05:21--00:05:24] 那这几十万token其实能够被很好的
[00:05:24--00:05:26] 被骚扰模型去理解
[00:05:26--00:05:28] 然后再去推荐给每一个人的
[00:05:28--00:05:30] 对 我觉得这个时代是有可能的
[00:05:30--00:05:32] 对 之前音频的问题也在于说
[00:05:32--00:05:34] 它其实是一个黑盒
[00:05:34--00:05:36] 在你打开这个音频之前
[00:05:36--00:05:37] 其实你根本就不知道里面是什么
[00:05:37--00:05:39] 你的成本其实是很高的
[00:05:39--00:05:41] 所以其实那个博主本身
[00:05:41--00:05:41] 他如果没有很好的
[00:05:41--00:05:44] 你对他的理解和对他的背书
[00:05:44--00:05:46] 那其实音频是很难以被分发的
[00:05:46--00:05:49] 而且音频相对来说是更长的
[00:05:49--00:05:49] 然后它可被标签的
[00:05:49--00:05:52] 被标记的东西又比较少
[00:05:52--00:05:53] 它不像视频也不像文章
[00:05:53--00:05:55] 文章可能是最好被token化的
[00:05:55--00:05:57] 对 那其实音频
[00:05:57--00:05:59] 我觉得也能很好的被token化
[00:05:59--00:06:00] 因为它只选择文字
[00:06:00--00:06:01] 其实本质上也是一样的
[00:06:01--00:06:03] 它比视频还容易
[00:06:03--00:06:06] 对 经历过第一次并不成功的创业之后
[00:06:06--00:06:08] 你当时对自己的认知是什么样的
[00:06:08--00:06:11] 当时确实觉得可能自己还是犯了一些错误
[00:06:11--00:06:12] 比如说一些融资节奏
[00:06:12--00:06:14] 比如说我们在那个产品刚上的时候
[00:06:14--00:06:15] 其实我们热度还是很高的
[00:06:15--00:06:17] 而且圈链是很多人在用的
[00:06:17--00:06:19] 当时的所谓的互联网一级市场
[00:06:19--00:06:21] 市场这些相对精英化的人群
[00:06:21--00:06:23] 大家是对获取信息的效率要求是很高的
[00:06:23--00:06:26] 所以当时其实很多人
[00:06:26--00:06:27] 在用我们的产品
[00:06:27--00:06:27] 我们的热度也很高
[00:06:27--00:06:29] 但那个时候很多过来找我
[00:06:29--00:06:32] 说要找我聊融资的人
[00:06:32--00:06:33] 我其实当时都拒了
[00:06:33--00:06:34] 因为当时我心里想
[00:06:34--00:06:37] 我应该去专心打磨产品
[00:06:37--00:06:38] 我不应该去聊融资
[00:06:38--00:06:40] 但是这是个完全错误的判断
[00:06:40--00:06:41] 对吧
[00:06:41--00:06:42] 你就是应该在你火的时候
[00:06:42--00:06:44] 去融进很多的钱
[00:06:44--00:06:46] 因为你不知道下一步要发生什么
[00:06:46--00:06:48] 以及当时我甚至都没有理解
[00:06:48--00:06:49] 这个行业的本质
[00:06:49--00:06:49] 那它原来是个
[00:06:49--00:06:51] 内容资源驱动型的行业
[00:06:51--00:06:53] 那理应你应该融更多的钱
[00:06:53--00:06:55] 所以一系列这样的误判
[00:06:55--00:06:57] 我觉得当时确实还是太幼稚
[00:06:57--00:06:59] 还是有很多东西没有想明白
[00:06:59--00:07:00] 就是自己只是一个
[00:07:00--00:07:01] 非常纯粹的做产品的人
[00:07:01--00:07:02] 但不是个好的CEO
[00:07:02--00:07:04] 而且当时还有个点就是
[00:07:04--00:07:06] 因为当时我觉得融钱这件事情
[00:07:06--00:07:07] 其实挺烦的
[00:07:07--00:07:09] 而且当时的产品
[00:07:09--00:07:09] 其实大家都不挣钱
[00:07:09--00:07:11] 都是烧VC的钱
[00:07:11--00:07:12] 所以当时我就觉得说
[00:07:12--00:07:14] 那我应该去直接挣钱
[00:07:14--00:07:16] 然后有什么能直接挣钱的
[00:07:16--00:07:18] 那可能游戏最直接能挣钱
[00:07:18--00:07:19] 所以后来就去做了
[00:07:19--00:07:20] 游戏
[00:07:20--00:07:22] 所以发现内容平台
[00:07:22--00:07:23] 是一个非常烧钱的事情
[00:07:23--00:07:25] 然后觉得游戏是一个
[00:07:25--00:07:26] 现金奶牛了
[00:07:26--00:07:27] 对 是的
[00:07:27--00:07:28] 因为游戏是能够
[00:07:28--00:07:29] 直接挣钱的
[00:07:29--00:07:30] 那这样的话
[00:07:30--00:07:31] 我可能并不需要去
[00:07:31--00:07:33] 不断地在外面
[00:07:33--00:07:35] 就通过我的叙事来去融资
[00:07:35--00:07:36] 就可能会更直接一些
[00:07:36--00:07:38] 当时的简单的想法是这样
[00:07:38--00:07:40] 所以那是15年
[00:07:40--00:07:41] 然后你什么时候
[00:07:41--00:07:43] 开始第二段创业了
[00:07:43--00:07:44] 其实就是紧随其后
[00:07:44--00:07:45] 因为当时我也有一款
[00:07:45--00:07:46] 很想做的游戏
[00:07:46--00:07:48] 当时的手机游戏
[00:07:48--00:07:49] 应该是刚起来
[00:07:49--00:07:49] 当时的手机游戏
[00:07:49--00:07:50] 当时一些刀打穿戏
[00:07:50--00:07:51] 那样的游戏
[00:07:51--00:07:52] 线下级的爆款一出了
[00:07:52--00:07:53] 手机游戏当时
[00:07:53--00:07:55] 被证明是很能挣钱的
[00:07:55--00:07:57] 当时我是看到了
[00:07:57--00:07:58] 传统游戏的
[00:07:58--00:07:59] 一个很大的品类
[00:07:59--00:08:00] 就是恋爱游戏
[00:08:00--00:08:01] 这一类的品类
[00:08:01--00:08:02] 其实在手机上
[00:08:02--00:08:03] 还完全没有
[00:08:03--00:08:04] 然后这一类的品类
