[00:00:00--00:00:02] 就是蒋曾国藩从二十多岁
[00:00:02--00:00:04] 是一个儒家清流
[00:00:04--00:00:05] 怎么到四十岁
[00:00:05--00:00:08] 变成一个特别有事工的一个人
[00:00:08--00:00:10] 是杨志林也是你的同学
[00:00:10--00:00:10] 是
[00:00:10--00:00:11] 他是一个什么样的人
[00:00:11--00:00:12] 就是高不可攀的大神
[00:00:12--00:00:15] 你是当时引入的一条盐鱼吗
[00:00:15--00:00:17] 我应该算是吧
[00:00:17--00:00:18] 我应该算是吧
[00:00:18--00:00:19] 我从M出来创业
[00:00:19--00:00:20] 我放弃了所有的期权
[00:00:20--00:00:22] 全部放弃了
[00:00:22--00:00:22] 有多少
[00:00:22--00:00:24] 当时那个时间点
[00:00:24--00:00:26] 一千两美金可能是有的吧
[00:00:26--00:00:28] 最近许华者要离职
[00:00:28--00:00:29] 是的
[00:00:29--00:00:31] 许华者主要是做算法
[00:00:31--00:00:33] 这是不是意味着
[00:00:33--00:00:33] 现阶段来说
[00:00:33--00:00:34] 对于机器人公司
[00:00:34--00:00:35] 算法创新不重要
[00:00:35--00:00:39] 你刚才也提到在Momenta
[00:00:39--00:00:41] 少卿离开了Momenta
[00:00:41--00:00:44] 之于曹旭东的影响
[00:00:44--00:00:46] 你觉得华者离开星海图
[00:00:46--00:00:47] 之于你的影响
[00:00:47--00:00:48] 这两者是一样的吗
[00:00:48--00:00:59] Hello大家好
[00:00:59--00:01:00] 我是小骏
[00:01:00--00:01:02] 我一直有一个疑惑
[00:01:02--00:01:04] 为什么中国巨声智能产业里
[00:01:04--00:01:06] 没有出现一个像梁文峰
[00:01:06--00:01:08] 杨志林这样带着浓重的技术
[00:01:08--00:01:10] 浪漫主义色彩的人
[00:01:10--00:01:12] 这让我有时候有点失落
[00:01:12--00:01:14] 直到我认识了高继扬
[00:01:14--00:01:15] 他似乎是这种
[00:01:15--00:01:17] 极致的浪漫主义的反面
[00:01:17--00:01:19] 代表了一种极致的
[00:01:19--00:01:22] 效率 工程拆解与实用主义
[00:01:22--00:01:24] 这次访谈录制的时候
[00:01:24--00:01:27] 正好是星海图的一位联合创始人
[00:01:27--00:01:28] 许华者即将离职
