page	source	status	title	rationale
001	slides-images/slide-001.jpg	optional	How language models reason about information from parameters and context	title card represented by the note cover and source metadata
002	slides-images/slide-002.jpg	required	Shared computational principles across natural and artificial intelligence	independent framing question retained in the note
003	slides-images/slide-003.jpg	required	Two ways of learning: parameters and context	independent teaching state retained in the note
004	slides-images/slide-004.jpg	required	Controlled comparison of information sources	independent teaching state retained in the note
005	slides-images/slide-005.jpg	required	Talk roadmap: gap, bridges, natural intelligence	independent teaching state retained in the note
006	slides-images/slide-006.jpg	optional	Parameters versus context	pure numbered section divider represented by the prose transition
007	slides-images/slide-007.jpg	required	The reversal curse after fine-tuning	independent teaching state retained in the note
008	slides-images/slide-008.jpg	required	Reversal is easy inside a chat context	independent counterexample retained in the note
009	slides-images/slide-009.jpg	required	Do parameters and context induce different generalization?	independent research question retained in the note
010	slides-images/slide-010.jpg	required	ICL and gradient-descent analogies	independent theoretical motivation retained in the note
011	slides-images/slide-011.jpg	required	Controlled finetuning versus full-dataset context experiment	independent experimental design retained in the note
012	slides-images/slide-012.jpg	required	Reversal results: large ICL advantage	independent result retained in the note
013	slides-images/slide-013.jpg	required	Syllogistic inference results	independent result retained in the note
014	slides-images/slide-014.jpg	required	ICL can outperform fine-tuning on latent tests	independent conclusion retained in the note
015	slides-images/slide-015.jpg	required	Contextual structures versus fine-tuning puzzle	independent mechanism question retained in the note
016	slides-images/slide-016.jpg	required	Could training from scratch remove the gap?	independent hypothesis retained in the note
017	slides-images/slide-017.jpg	required	From-scratch reversal experiment	independent experimental design and result retained in the note
018	slides-images/slide-018.jpg	required	Codebook and translation-like latent tests	independent experimental design and result retained in the note
019	slides-images/slide-019.jpg	required	The gap persists after training from scratch	independent conclusion retained in the note
020	slides-images/slide-020.jpg	required	Explicit content versus latent usable information	independent concept taxonomy retained in the note
021	slides-images/slide-021.jpg	required	Parametric consolidation versus flexible in-context use	independent mechanism diagram retained in the note
022	slides-images/slide-022.jpg	required	Statistical co-occurrence can mask the gap	independent caveat retained in the note
023	slides-images/slide-023.jpg	required	Can models learn what is latent without shortcut cues?	independent transition question retained in the note
024	slides-images/slide-024.jpg	optional	Paths to bridging the latent generalization gap	pure numbered section divider represented by the prose transition
025	slides-images/slide-025.jpg	required	Offline augmentation and online retrieval families	independent roadmap retained in the note
026	slides-images/slide-026.jpg	required	Approach 1: in-context augmentation pipeline	independent algorithm retained in the note
027	slides-images/slide-027.jpg	required	Document-level augmentation example	independent worked example retained in the note
028	slides-images/slide-028.jpg	required	Augmented fine-tuning results	independent result retained in the note
029	slides-images/slide-029.jpg	required	Augmentation improves parametric generalization	independent conclusion retained in the note
030	slides-images/slide-030.jpg	required	Can augmentation get information from nothing?	independent objection retained in the note
031	slides-images/slide-031.jpg	required	Augmentation makes latent implications explicit	independent information-accounting explanation retained in the note
032	slides-images/slide-032.jpg	required	Exhaustive future-use augmentation is intractable	independent limitation retained in the note
033	slides-images/slide-033.jpg	required	Approach 2: oracle episodic retrieval	independent mechanism and disclaimer retained in the note
034	slides-images/slide-034.jpg	required	Episodic retrieval results on reversals and codebooks	independent result retained in the note
035	slides-images/slide-035.jpg	required	Retrieval restores flexible latent generalization	independent conclusion retained in the note
036	slides-images/slide-036.jpg	required	Approach 3: regenerate needed information using RL	independent mechanism retained in the note
037	slides-images/slide-037.jpg	required	Cross-dataset RL generalization protocol	independent experimental design retained in the note
038	slides-images/slide-038.jpg	required	RL transfers to held-out dataset B	independent result retained in the note
039	slides-images/slide-039.jpg	required	True reversal still requires impractical enumeration	independent limitation retained in the note
040	slides-images/slide-040.jpg	required	RL regeneration helps some but not all latent problems	independent conclusion retained in the note
041	slides-images/slide-041.jpg	required	Three paths to better generalization	independent synthesis retained in the note
042	slides-images/slide-042.jpg	required	Compute, coverage, and retrieval tradeoffs	independent comparison table retained in the note
043	slides-images/slide-043.jpg	optional	The bigger picture and natural intelligence	pure numbered section divider represented by the prose transition
044	slides-images/slide-044.jpg	required	Latent information may be unusable after parametric learning	independent synthesis retained in the note
045	slides-images/slide-045.jpg	required	Does natural intelligence face the same challenge?	independent research question retained in the note
046	slides-images/slide-046.jpg	required	Offline augmentation and online retrieval in brains	independent analogy setup retained in the note
047	slides-images/slide-047.jpg	required	Cortical and hippocampal learning as complementary systems	independent computational analogy retained in the note
048	slides-images/slide-048.jpg	required	Computational ingredients for generalization	independent design principles retained in the note
049	slides-images/slide-049.jpg	required	Final summary of gap and three bridges	independent final synthesis retained in the note
050	slides-images/slide-050.jpg	optional	Thank you and contact information	closing contact card with no independent teaching content
