[00:00:02--00:00:06] 不能称作是AI Bubble
[00:00:06--00:00:07] 更像是AI War
[00:00:07--00:00:10] AI可能就是得看作
[00:00:10--00:00:13] 这是新的国防和核武器一样的东西
[00:00:13--00:00:17] 所以很多人可能就会砸光最后一分钱
[00:00:17--00:00:18] 也不会轻易下牌桌吧
[00:00:18--00:00:21] 你看Google越强
[00:00:21--00:00:23] 越会形成一个反Google联盟
[00:00:23--00:00:24] OpenAI越强
[00:00:24--00:00:26] 也会形成一个反OpenAI联盟
[00:00:26--00:00:28] 其实你看OpenAI诞生的初衷
[00:00:28--00:00:30] 不就是为了挑战Google吗
[00:00:30--00:00:33] 所以有一个很大的概率
[00:00:33--00:00:36] 就是说未来机器人世界模型的突破
[00:00:36--00:00:39] 可能不一定是今天在座的这批人
[00:00:39--00:00:41] 有可能今天在座的这批人
[00:00:41--00:00:44] 是上一代NLP一样的结果
[00:00:44--00:00:45] 确实是包轮
[00:00:45--00:00:49] 就机器人最大问题还是不泛滑
[00:00:49--00:00:53] 做这个播客很大的一个意义
[00:00:53--00:00:58] 就是要有passion去鼓动中国的科技公司多买卡
[00:00:58--00:01:01] 给年轻的研究员更多的搓卡的机会
[00:01:01--00:01:01] 对吧
[00:01:01--00:01:05] Hello 大家好
[00:01:05--00:01:07] 欢迎收听张小俊商业访谈录
[00:01:07--00:01:08] 我是小俊
[00:01:08--00:01:12] 这是一档由语言级世界工作室出品的深度访谈节目
[00:01:12--00:01:16] 我们希望和你一起从这里探索新世界
[00:01:16--00:01:19] 这里是全球大模型季报的第八集
[00:01:19--00:01:21] 也是我和广密跨年对谈的第三年了
[00:01:21--00:01:24] 那这期节目将带你看到
[00:01:24--00:01:27] 在对AGI开始充斥着现实主义情绪回归的当下
[00:01:27--00:01:29] 全球的AI竞争
[00:01:29--00:01:33] 它形成了怎样的战队阵营和联盟
[00:01:33--00:01:34] 各个前线人员都会看到
[00:01:34--00:01:36] 语言实验室在探索哪些新的范式
[00:01:36--00:01:40] 以及硅谷又涌现出了哪些新型的研究实验室
[00:01:40--00:01:43] 如果你对全球大模型季报有更多的想法或者建议
[00:01:43--00:01:46] 欢迎大家在评论区里多多给我们留言
[00:01:46--00:01:47] 我们都会看到
[00:01:47--00:01:49] 那2025年的最后
[00:01:49--00:01:51] 期待我们和AI共同进步
[00:01:51--00:02:01] Hello 广密
[00:02:01--00:02:02] 还是给大家打个招呼吧
[00:02:02--00:02:04] Hello 我是广密
[00:02:04--00:02:05] 时间过得好快啊
[00:02:05--00:02:07] 这已经是我们的第八集季报
[00:02:07--00:02:09] 第三年的跨年对谈了
[00:02:09--00:02:10] 你觉得我们一起录制这个系列
[00:02:10--00:02:11] 这么长时间
[00:02:11--00:02:12] 给你的生活和生活
[00:02:12--00:02:13] 工作带来哪些变化
[00:02:13--00:02:15] 你觉得做内容好玩吗
[00:02:15--00:02:18] 我觉得做内容蛮有趣的吧
[00:02:18--00:02:18] 就是
[00:02:18--00:02:21] 反馈闭环比投资快
[00:02:21--00:02:25] 而且播客的听众很多都是一线的从业者
[00:02:25--00:02:27] 很多人水平也挺高的
[00:02:27--00:02:29] 很多人听了后找我聊天
[00:02:29--00:02:31] 也认识了很多朋友吧
[00:02:31--00:02:33] 我自己也学到了很多东西
[00:02:33--00:02:34] 就是一线的人
[00:02:34--00:02:36] 说受到很多启发
[00:02:36--00:02:38] 这也是一个很好的正向鼓励吧
[00:02:38--00:02:39] 我就希望
[00:02:39--00:02:41] 每个季度能系统地讲一讲
[00:02:41--00:02:42] 就对自己的工作
[00:02:42--00:02:45] 对自己和对团队也是一个阶段性总结
[00:02:45--00:02:47] 然后也希望
[00:02:47--00:02:51] 这个让听众更好地理解这个全球AI的进展
[00:02:51--00:02:55] 然后大模型季报也希望纯粹地做一个
[00:02:55--00:02:56] 公益科普的内容吧
[00:02:56--00:02:58] 是输出真的有用的信息
[00:02:58--00:03:01] 反正做着做着的过程中呢
[00:03:01--00:03:04] 坚持做播客慢慢的也有了一个更大的意义
[00:03:04--00:03:05] 或者说一个passion
[00:03:05--00:03:09] 就是说叫推动中国AGI的起手和步道者
[00:03:09--00:03:12] 就是步道和科普自己相信的东西
[00:03:12--00:03:15] 希望中国也有一个自己的硅谷吧
[00:03:15--00:03:18] 也希望对华人创意者有一些帮助吧
[00:03:18--00:03:21] 过去这个季度似乎整体的AGI叙事
[00:03:21--00:03:22] 在变得更现实更谨慎
[00:03:22--00:03:25] 你的感受和状态是什么样的
[00:03:25--00:03:29] 我过去一个季度依然还是把大部分时间
[00:03:29--00:03:31] 精力花在了AI研究员身上
[00:03:31--00:03:34] 那个因为技术变化确实很快
[00:03:34--00:03:37] 还要持续地理解技术的进展
[00:03:37--00:03:41] 今天又到了一个比较关键的时间点吧
[00:03:41--00:03:42] 比如说
[00:03:42--00:03:46] coding从年初几亿美金硬生生的长出来一个
[00:03:46--00:03:50] 百亿美金年化营收的一个新市场对吧
[00:03:50--00:03:52] 后面还有多大然后会怎么走
[00:03:52--00:03:56] 再比如Google王者归来对吧
[00:03:56--00:03:58] 对后面格局的影响
[00:03:58--00:04:02] 再比如说伊利亚公开说scaling停了
[00:04:02--00:04:03] 我们应该怎么理解
[00:04:03--00:04:09] 包括还有下一代范式online learning已经在孕育了
[00:04:09--00:04:11] 这个可能还是一个核弹级别的突破对吧
[00:04:11--00:04:14] 所以接下来应该关注什么
[00:04:14--00:04:16] 哪一个是真问题
[00:04:16--00:04:17] 哪个是假问题
[00:04:17--00:04:20] 这个时候感觉理解技术的本身
[00:04:20--00:04:23] 变得比以往更加的重要
[00:04:23--00:04:25] 所以理解了技术本身
[00:04:25--00:04:29] 对2627年做正确的战略下注是非常有用的
[00:04:29--00:04:32] 你看最近大家都在说AI bubble
[00:04:32--00:04:34] 那站在2025年的尾巴上
[00:04:34--00:04:35] 你有嗅到泡沫的味道没有
[00:04:35--00:04:39] 你对于2026年是乐观更多还是悲观更多
[00:04:39--00:04:41] 我担心过一阵子
[00:04:41--00:04:44] 现在结论是不用太担心
[00:04:44--00:04:46] 不能称作是AI bubble
[00:04:46--00:04:48] 更像是AI war
[00:04:48--00:04:53] 这是每个科技巨头都输不起的战争或军备竞赛
[00:04:53--00:04:59] 甚至说这也是中美国家战略都输不起的一个战争竞赛
[00:04:59--00:05:04] AI可能就是得看作这是新的国防和核武器一样的东西
[00:05:04--00:05:08] 所以很多人可能就会砸光最后一分钱
[00:05:08--00:05:09] 也不会轻易下牌桌吧
[00:05:09--00:05:11] 为什么你说每个科技巨头的输入
[00:05:11--00:05:13] 都输不起
[00:05:13--00:05:15] 就是颠覆性太强了
[00:05:15--00:05:17] 你举一个现实的例子
[00:05:17--00:05:22] 商业上就说你看现在每个开发者或者企业
[00:05:22--00:05:24] 过去都是首选AWS或者Azure
[00:05:24--00:05:26] 去做应用开发部署对吧
[00:05:26--00:05:28] 现在是首选用哪个模型
[00:05:28--00:05:30] GPT Cloud Gemini
[00:05:30--00:05:32] 那云厂商就被白牌化了
[00:05:32--00:05:34] 就像当年惠普Dial一样
[00:05:34--00:05:36] 其实就被藏到后面去了
[00:05:36--00:05:38] 然后我们再推演C端
[00:05:38--00:05:40] 就看豆包手机这个例子
[00:05:41--00:05:44] 现在Agent成为流量入口了
[00:05:44--00:05:47] 那今天的Super App其实就被短路了
[00:05:47--00:05:51] 那今天的Super App其实是靠信息不对称赚钱的
[00:05:51--00:05:56] 如果Agent让信息分发这个充分对称了
[00:05:56--00:05:59] 那像Uber像携程这种信息仲介平台
[00:05:59--00:06:01] 其实就不应该赚那么多钱了
[00:06:01--00:06:05] 你看在湾区打Uber经常被平台抽个50%
[00:06:05--00:06:07] 司机连一半都不到
[00:06:07--00:06:11] 那传统甚至说传统搜索也不应该赚那么多钱
[00:06:11--00:06:16] 那科技巨头他又要防守又要激进的进攻
[00:06:16--00:06:18] 这是商业层面
[00:06:18--00:06:20] 如果从国家战略层面
[00:06:20--00:06:25] 我觉得AI也应该成为中美战略重点之一
[00:06:25--00:06:27] 就是叫再重视都不为过
[00:06:27--00:06:28] 其实输不起的
[00:06:28--00:06:31] 对Agent会带来重新的流量分配
[00:06:31--00:06:33] 有可能会打掉现有的平台
