[00:00:01--00:00:15] Hello 大家好 我是小骏
[00:00:15--00:00:18] 今天我们来到了美国硅谷
[00:00:18--00:00:21] 此刻正在扎克伯格最早的创业所在地Facebook House
[00:00:21--00:00:25] 这是一栋外表为淡蓝色的可爱的小房子
[00:00:25--00:00:29] 而今天也将迎来上一访谈录最年轻的一位嘉宾
[00:00:29--00:00:31] 她是一位00后的华人女孩
[00:00:31--00:00:32] 名字叫洪乐彤
[00:00:32--00:00:35] 她的探索方向是AF4Math
[00:00:35--00:00:37] 所创办的公司Oxfam
[00:00:37--00:00:40] 刚刚完成了估值为16亿美元的A轮融资
[00:00:40--00:00:43] 而她引起了很多人的关注
[00:00:43--00:00:45] 则来自于这样一条新闻
[00:00:45--00:00:49] 57岁的美国终身教授突然辞职
[00:00:49--00:00:51] 去给24岁的华人女孩打工
[00:00:51--00:00:54] 那接下来就是我对洪乐彤的访谈
[00:00:54--00:00:57] 因为我确实在每一个时期
[00:00:57--00:01:00] 都觉得是自己是那个环境里面最愚蠢的那一个
[00:01:00--00:01:03] 最怎么样努力都看不到结果的那一个
[00:01:03--00:01:05] 在你的心目中AF4Math
[00:01:05--00:01:07] 它在整个AI的大地图上
[00:01:07--00:01:07] 它应该是
[00:01:07--00:01:11] 我觉得大部分我知道的就是
[00:01:11--00:01:15] Founder就是创业公司的创始人
[00:01:15--00:01:17] 他们都对就是苦难上瘾
[00:01:17--00:01:18] 我听下来我会有一个问题
[00:01:18--00:01:20] 因为现在coding也很火
[00:01:20--00:01:20] 对
[00:01:20--00:01:23] 那用Math作为手段和用coding作为手段
[00:01:23--00:01:25] 去执行任务的区别会是什么呢
[00:01:25--00:01:26] 没有人喜欢这种词
[00:01:26--00:01:29] 没有人喜欢这种词
[00:01:29--00:01:31] 它不是说难
[00:01:31--00:01:31] 结果难
[00:01:31--00:01:32] 它就是累
[00:01:32--00:01:36] 你是一个复读机
[00:01:36--00:01:37] 一次一次地
[00:01:37--00:01:39] 说一样的事情
[00:01:39--00:01:42] 你一次一次地接到一样的问题
[00:01:42--00:01:43] 真的我就能
[00:01:43--00:01:45] 我可以把它录下来
[00:01:45--00:01:47] 然后我就给你们大家发对吧
