page	source	status	title	rationale	video_time
001	slides-images/slide-001.jpg	optional	On the Tradeoffs of State Space Models and Transformers	talk title card; source metadata is preserved on the note cover	00:00:34
002	slides-images/slide-002.jpg	required	Resurgence of recurrent and linear models — production hybrids	independent model-family map plus large-scale hybrid examples	00:04:06
003	slides-images/slide-003.jpg	required	Resurgence of recurrent and linear models — umbrella taxonomy	independent taxonomy connecting SSMs, linear attention, linear RNNs, recurrent models, and linear models	00:05:02
004	slides-images/slide-004.jpg	required	Autoregressive modeling	independent training-versus-inference setup	00:06:04
005	slides-images/slide-005.jpg	required	Recap: attention inference and KV cache	independent dependency, cache, and context-growth mechanism	00:07:42
006	slides-images/slide-006.jpg	required	High-level Transformer/SSM tradeoff	independent every-token access versus compressed-state update contrast	00:08:48
007	slides-images/slide-007.jpg	required	SSM ingredient 1: state size and state expansion	independent memory-capacity design axis	00:10:50
008	slides-images/slide-008.jpg	required	SSM ingredient 2: selective state update	independent input-dependent transition/gating design axis	00:12:10
009	slides-images/slide-009.jpg	required	SSM ingredient 3: efficient training	independent associative-scan and linear-recurrence design axis	00:13:32
010	slides-images/slide-010.jpg	required	Mamba as a selective SSM	independent synthesis of the three SSM ingredients	00:14:50
011	slides-images/slide-011.jpg	required	Modern recurrent models and the fundamental tradeoff	dense comparison table plus the lecture's architecture-level question	00:16:14
012	slides-images/slide-012.jpg	required	Key concept: autoregressive states	independent common-language definition of state across sequence models	00:17:10
013	slides-images/slide-013.jpg	required	A coarse analogy: database versus brain	independent intuition for token-addressable history versus compressed state	00:18:36
014	slides-images/slide-014.jpg	required	Early tradeoff statement for SSMs	independent stateful/online-processing benefit and recall/retrieval limitation	00:19:30
015	slides-images/slide-015.jpg	required	Hybrid models	independent empirical hybrid examples and SSM-to-attention ratio question	00:21:30
016	slides-images/slide-016.jpg	required	Attention is all you need? — myth	independent raw-data-directly-to-Transformer misconception	00:23:26
017	slides-images/slide-017.jpg	required	Attention is all you need? — right abstraction	independent pre-compression and abstraction-level correction	00:23:50
018	slides-images/slide-018.jpg	required	Perceptual modalities use patchification	independent image/video/audio preprocessing path	00:24:24
019	slides-images/slide-019.jpg	required	Discrete modalities use tokenization	independent language/genomics preprocessing path	00:25:08
020	slides-images/slide-020.jpg	required	What happens without tokenization?	complete tokenizer failure examples plus practical/end-to-end-learning caveat	00:26:30
021	slides-images/slide-021.jpg	required	Character/byte-level language-model scaling	independent compute-matched scaling evidence for raw-resolution modeling	00:28:40
022	slides-images/slide-022.jpg	required	DNA language-model scaling	independent domain-specific Mamba/Transformer parameter-efficiency evidence	00:29:22
023	slides-images/slide-023.jpg	required	Effective tokens for attention	complete cache-worthiness, hard-attention, and modality-dependent token-unit argument	00:32:50
024	slides-images/slide-024.jpg	required	General utility of compressive models	independent modality-distribution evidence and general-compression motivation	00:34:00
025	slides-images/slide-025.jpg	required	H-Net and learned dynamic chunking	independent model definition plus learned byte-boundary visualization	00:37:14
026	slides-images/slide-026.jpg	required	H-Net architecture	complete hierarchical, dynamic-routing, and signal-propagation design	00:40:30
027	slides-images/slide-027.jpg	required	Dynamic chunking scales better — compute-matched curves	independent isobitropic and multi-stage H-Net comparison	00:44:08
028	slides-images/slide-028.jpg	required	Dynamic chunking beyond bytes	independent bits-per-byte evidence and BPE outer-stage caveat	00:46:02
029	slides-images/slide-029.jpg	required	Dynamic chunking for DNA	independent non-semantic-alphabet scaling evidence	00:47:56
030	slides-images/slide-030.jpg	required	Attention at the right level of abstraction	independent comic-backed synthesis of the token-resolution thesis	00:50:04
031	slides-images/slide-031.jpg	required	Final tradeoffs of SSMs	annotated correction from superficial efficiency to stateful compression	00:51:10
032	slides-images/slide-032.jpg	required	Final tradeoffs of attention	annotated correction from quadratic cost to resolution/semantic dependence and database-like cache	00:52:50
033	slides-images/slide-033.jpg	required	Is the model using compute wisely?	independent closing architecture-resolution-capability question	00:54:30
