[00:00:04--00:00:08] 这个我还没答完,因为我觉得这还不是终极实力
[00:00:08--00:00:10] 我觉得真正终极的实力
[00:00:10--00:00:13] 但也许需要超过一代人去做的
[00:00:13--00:00:16] 我觉得是民族的乐化实力
[00:00:16--00:00:18] 就是这骚耗、乱实力
[00:00:18--00:00:22] 我觉得这个实力一定成不成
[00:00:22--00:00:26] 我觉得如果能够追上美国,我会觉得非常美
[00:00:26--00:00:30] 我想到美国的时候,我没觉得总统的平衡
[00:00:30--00:00:33] 我想到的是BA,我想到的是好莱坞
[00:00:33--00:00:35] 我想到的是
[00:00:35--00:00:41] 就是我觉得我想到的是美国给全世界建立的一种
[00:00:41--00:00:44] 我是一个更好的世界
[00:00:44--00:00:47] 大家都应该来获得学习的这个
[00:00:47--00:00:51] 我觉得中国这一代企业家和所有的人吧
[00:00:51--00:00:53] 都是有机会的
[00:00:53--00:00:54] 你是快哭了吗?
[00:00:54--00:00:59] 我觉得还是机会的
[00:00:59--00:01:02] Hello大家好,欢迎收听张小俊商业访谈录
[00:01:02--00:01:03] 我是小俊
[00:01:03--00:01:07] 这是一档提供一手高密度信息的商业访谈节目
[00:01:07--00:01:08] 过去的节目
[00:01:08--00:01:13] 过去十年,中国新能源汽车产业从无到有经历了蓬勃的发展
[00:01:13--00:01:17] 大家最熟悉的可能是理想、小鹏、蔚来这些整车品牌
[00:01:17--00:01:22] 但是很少有人关注到这场变革背后的产业链企业
[00:01:22--00:01:29] 商业访谈录的108集对于凯和本集对何塞联合创始人与CEO李一帆的三小时访谈
[00:01:29--00:01:33] 关注的都是汽车产业链上的隐形选手
[00:01:33--00:01:38] 这集也是李一帆对他们做激光雷达11年硬核创业的一部口述时
[00:01:38--00:01:44] 随着中国科技创新从互联网的模式创新走向硬核科技的前沿创新
[00:01:44--00:01:48] 中国也许还会出现更多的技术类创业者
[00:01:48--00:01:52] 何塞的故事也许能提供一个参考的样本
[00:02:14--00:02:20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:02:44--00:02:50] 欢迎订阅 转发 打赏支持明镜与点点栏目
[00:03:14--00:03:20] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:03:20--00:03:26] 欢迎订阅 转发 打赏支持明镜与点点栏目
[00:03:26--00:03:32] 欢迎订阅 转发 打赏支持明镜与点点栏目
[00:03:32--00:03:38] 欢迎订阅 转发 打赏支持明镜与点点栏目
[00:03:38--00:03:42] 欢迎订阅 转发 打赏支持明镜与点点栏目
[00:03:42--00:03:44] 欢迎订阅 转发 打赏支持明镜与点点栏目
[00:03:44--00:03:45] 先给大家讲明什么是激光雷达
[00:03:45--00:03:47] 以及这个产业的一个大大的发展历史
[00:03:47--00:03:48] 好
[00:03:48--00:03:50] 先说什么是激光雷达
[00:03:50--00:03:51] 我通常有一个比喻
[00:03:51--00:03:53] 就是它叫做
[00:03:53--00:03:57] 车和机器人的眼睛
[00:03:57--00:03:59] 眼睛的意思就是说
[00:03:59--00:04:02] 它能帮你去判断你面前的行人
[00:04:02--00:04:03] 汽车
[00:04:03--00:04:05] 各种各样的东西
[00:04:05--00:04:07] 它是一个很特殊的眼睛
[00:04:07--00:04:09] 其实身上头也是眼睛
