[00:00:01--00:00:08] 我觉得在硅谷,大家都觉得机器人可能是即将发生的一个最重要的变革
[00:00:08--00:00:15] 所以所有的公司都投入巨资去传他们的机器人团队,去做机器人大模型
[00:00:15--00:00:22] 然后到最近就是你可以看Gemmobotics第一代,就是三月份的那个版本
[00:00:22--00:00:27] 那个时候可能已经是120个人在author list上,这次可能160到180个人
[00:00:27--00:00:36] 刘俊招人,然后有一个就是白人,美国的一个PhD毕业了
[00:00:36--00:00:42] 然后他就跟我说,我真的希望你们team能多招点华人
[00:00:42--00:00:44] 然后他说他还学到一个词叫牛马
[00:00:44--00:00:45] 牛马
[00:00:45--00:00:50] 对,他说他特别喜欢自己做牛做马
[00:00:50--00:00:51] 对,他自己也对
[00:00:51--00:00:53] 他是不是对这个词有什么误解
[00:00:53--00:01:01] Hello,大家好,欢迎收听张小俊商业访谈录
[00:01:01--00:01:02] 我是小俊
[00:01:02--00:01:04] 这是一档游语言集合
[00:01:04--00:01:06] 世界工作室出品的深度访谈节目
[00:01:06--00:01:10] 我们希望和你一起从这里探索新世界
[00:01:10--00:01:17] 今天的嘉宾是Google DeepMind机器人团队的高级研究科学家兼技术负责人谭杰
[00:01:17--00:01:23] 他的研究方向是将基础模型和深度强化学习方法应用于机器人领域
[00:01:23--00:01:27] 中美在机器人领域一直存在着两种叙事
[00:01:27--00:01:30] 市场普遍认为中国在硬件上发展的更快
[00:01:30--00:01:33] 而美国在机器人的大脑设计上更领先
[00:01:33--00:01:37] 那本期节目中谭杰将带我们一窥硅谷视角
[00:01:37--00:01:41] 尤其是Google DeepMind视角下的机器人叙事
[00:01:41--00:01:44] 那前不久呢他们刚发布了一个新的工作
[00:01:44--00:01:49] 叫做Gemini Robotics 1.5将AI Agents带入物理世界
[00:01:49--00:01:52] 我们也聊聊他们的最新发现
[00:01:52--00:02:04] 谭老师先给听众朋友们打个招呼并且做一个简单的自我介绍
[00:02:04--00:02:07] 大家好非常高兴今天能来到这里
[00:02:07--00:02:08] 我叫谭杰
[00:02:08--00:02:11] 然后我现在是Google DeepMind的一个
[00:02:11--00:02:15] 学家我加入这个团队可能快十年了
[00:02:15--00:02:17] 以前是上海教大毕业
[00:02:17--00:02:19] 然后小时候特别喜欢打游戏
[00:02:19--00:02:23] 然后所以读博的时候出去读了一个计算机图形学
[00:02:23--00:02:29] 然后后来觉得就是图形学和机器人有很多相似之处
[00:02:29--00:02:32] 你可以认为机器人就是在真实世界里做图形学
[00:02:32--00:02:36] 或者图形学是在simulation里面做机器人
[00:02:36--00:02:39] 然后为了使得自己的工作更有一些影响力
[00:02:39--00:02:41] 然后你可以看怎么见摸得着
[00:02:41--00:02:44] 就转了机器人
[00:02:44--00:02:45] 开始的时候叫Google Brain
[00:02:45--00:02:48] 然后加入以后就一直在这个团队里面
[00:02:48--00:02:52] 后来和DeMind合并以后就变成了Google DeepMind Robotics Team
[00:02:52--00:02:54] 这是你的第一个工作吗
[00:02:54--00:02:56] 其实不是的啊
[00:02:56--00:03:03] 我在读博之前在上海做了一个很短的startup
[00:03:03--00:03:05] 就是本科硕士毕业创业
[00:03:05--00:03:05] 对
[00:03:05--00:03:08] 然后那startup有点像现在的库加勒
[00:03:08--00:03:09] 我不知道库加勒还在不在
[00:03:09--00:03:11] 好像好久没有关心这个这个领域了
[00:03:11--00:03:13] 因为我学过图形学
[00:03:13--00:03:16] 然后但那个时候我觉得实际也不是很成熟
[00:03:16--00:03:18] 然后后来我就出国读书了
[00:03:18--00:03:20] 读完书以后我又去了一家startup
[00:03:20--00:03:21] 是做相机的
[00:03:21--00:03:23] 那个startup叫Lytro
[00:03:23--00:03:25] 是光场相机
[00:03:25--00:03:26] 不知道大家听说过没有
[00:03:26--00:03:26] 在美国还是在硅谷
[00:03:26--00:03:28] 在美国在硅谷
[00:03:28--00:03:31] 对它是一个就是你可以先拍照后对焦
[00:03:31--00:03:32] 而且它不是通过计算
[00:03:32--00:03:35] 而是它采集一个光场非常复杂的一个物理原理
[00:03:35--00:03:39] 然后使得它有使得那个相机有些特别的功能
[00:03:39--00:03:40] 然后在那做了大概一年半以后
[00:03:40--00:03:41] 我后来就加入了Google
[00:03:41--00:03:44] 你的研究方向是怎么发生变化的
[00:03:44--00:03:45] 就是博士是做图形学嘛对吧
[00:03:45--00:03:48] 就是那个时候我也在pixar实习
[00:03:48--00:03:50] 就是我一直做的那个叫动画
[00:03:50--00:03:52] 动画其实有很多种做法
[00:03:52--00:03:53] 在pixar的时候呢
[00:03:53--00:03:55] pixar有很多自己的坚持的原则
[00:03:55--00:03:58] 比如说他从来不用动作捕捉系统
[00:03:58--00:04:01] 他觉得所有的东西都应该是手调的
[00:04:01--00:04:04] 对然后但是你如果是做动画的这个研究的话
[00:04:04--00:04:07] 其实它并不是关于手调这些动画
[00:04:07--00:04:10] 而是通过用数学的方法物理的方法
[00:04:10--00:04:11] 看你是不是能
[00:04:11--00:04:14] 在一个就是仿真环境里面
[00:04:14--00:04:17] 是得一个比如说人的形态或者动物的形态
[00:04:17--00:04:19] 能自然的行走
[00:04:19--00:04:22] 对然后那个时候我做这个叫physics based
[00:04:22--00:04:23] character animation
[00:04:23--00:04:26] 后来就是做着做着觉得这里面有很多AI的成分
[00:04:26--00:04:29] 就是我越来越多的用AI来解决这样的问题
[00:04:29--00:04:32] 可能是我就是第三第四年的时候
[00:04:32--00:04:36] 然后我觉得这个东西跟机器人太相似了
[00:04:36--00:04:38] 然后我又觉得我不想就是自己的工作
[00:04:38--00:04:39] 只是为了娱乐嘛
[00:04:39--00:04:41] 为了这个游戏和
[00:04:41--00:04:42] 影视
[00:04:42--00:04:46] 所以我就跟我导师说我想尝试一下机器人
[00:04:46--00:04:50] 我要用这个图音学的方法来变革整个机器人的行业
[00:04:50--00:04:51] 就是变革
[00:04:51--00:04:53] 对天上气非常的宏大
[00:04:53--00:04:56] 对那我导师也是非常的怎么说开明嘛
[00:04:56--00:04:58] 就是我导师叫Karen Liu
[00:04:58--00:05:00] 我在Georgia Tech读的博士
[00:05:00--00:05:02] 到后来去了Stanford
[00:05:02--00:05:03] 他现在Stanford
[00:05:03--00:05:05] 然后他就说那就做呗
[00:05:05--00:05:11] 然后我们最后就是我最后一个project就是完全用图音学的方法
[00:05:11--00:05:14] 在一个很小的人型机器人上
[00:05:14--00:05:16] 让他能够就是倒立呀
[00:05:16--00:05:19] 让他能够在不同的姿势里面坐着
[00:05:19--00:05:21] 然后变成站起来之类的
[00:05:21--00:05:22] 就做了一些很简单的控制
[00:05:22--00:05:24] 那个结束以后
[00:05:24--00:05:26] 我想去找一份教职
[00:05:26--00:05:28] 那个时候觉得在在美国找一份教职
[00:05:28--00:05:29] 这是哪一年
[00:05:29--00:05:31] 那个是2015年
[00:05:31--00:05:32] 然后还找一份教职
