[00:00:03--00:00:05] 大家都知道图像是大自然创造的
[00:00:05--00:00:07] 它不管你人类对它怎么理解
[00:00:07--00:00:08] 它就在那里
[00:00:08--00:00:13] 但是当时发生了一件事
[00:00:13--00:00:17] 让我们就觉得就百思不得其解了
[00:00:17--00:00:20] 然后是发现了一些蛛丝马迹
[00:00:20--00:00:23] 就比如说更大的模型
[00:00:23--00:00:24] 它在作业数学系
[00:00:24--00:00:25] 它更倾向于跳动
[00:00:25--00:00:30] 它可能直接指向了
[00:00:30--00:00:32] 我们做那个next-to-one prediction
[00:00:32--00:00:34] 这样一个本质的缺陷
[00:00:34--00:00:45] Hello 大家好
[00:00:45--00:00:47] 欢迎收听张小俊商业访谈录
[00:00:47--00:00:48] 我是小俊
[00:00:48--00:00:52] 这是一档提供一手高密度信息的商业访谈节目
[00:00:52--00:00:54] 今天这集呢
[00:00:54--00:00:57] 商业访谈录第一次迎来了一位co-host
[00:00:57--00:00:59] 是大家熟悉的李广秘
[00:00:59--00:01:01] 广秘邀请了大模型公司
[00:01:01--00:01:03] 接月星辰的首席科学家张祥宇
[00:01:03--00:01:06] 来给大家聊聊多模态的前世今生
[00:01:06--00:01:09] 和未来技术的前沿走向
[00:01:09--00:01:12] 张祥宇在这期节目中详细地阐述了
[00:01:12--00:01:15] 他参与的多模态研究的十年历史
[00:01:15--00:01:16] 对多模态的全新思考
[00:01:16--00:01:20] 以及所预见的下一个GPT-4的时刻
[00:01:20--00:01:21] 他提到了一个细节
[00:01:21--00:01:23] 在训练过程中
[00:01:23--00:01:26] 他曾经发现了一件百思不得其解的现象
[00:01:26--00:01:28] 那就是模型的通用对话能力
[00:01:28--00:01:32] 情商和知识量都是在随着模型的变大而变得更强
[00:01:32--00:01:34] 但是模型的推理能力
[00:01:34--00:01:36] 尤其是数学的能力表现
[00:01:36--00:01:38] 却是先上升后平缓
[00:01:38--00:01:40] 再扩大反而是下降
[00:01:40--00:01:43] 这点在业界还没有引起广泛的讨论
[00:01:43--00:01:44] 那关于这个怪现象呢
[00:01:45--00:01:47] 他也给出了自己的解答
[00:01:47--00:01:50] 下面就是广密和详语的聊天
[00:01:50--00:01:51] 还是那句
[00:01:51--00:02:00] 2025期待我们和AI共同进步
[00:02:00--00:02:01] 这个播客的目的呢
[00:02:01--00:02:03] 还是想推动AGA的生态吧
[00:02:03--00:02:06] 传递这个AGA的观点影响社区
[00:02:06--00:02:09] 影响大企业的管理层
[00:02:09--00:02:11] 重视基础研究文化
[00:02:11--00:02:12] 也重视研究员
[00:02:12--00:02:15] 也投入更多的资源到推动AGA的事业下吧
[00:02:15--00:02:18] 因为15年前是移动为先嘛
[00:02:18--00:02:19] 今天是智能为先
[00:02:19--00:02:20] 智能为先其实最重要的
[00:02:20--00:02:23] 还是要非常理解和重视研究文化
[00:02:23--00:02:25] 今天我们要访谈的张祥宇
[00:02:25--00:02:27] 是我特别崇拜的一位AI科学家
[00:02:27--00:02:31] 现在也是大木星公司接月的首席科学家
[00:02:31--00:02:32] 其实祥宇非常低调
[00:02:32--00:02:34] 然后这也是人生第一次公开访谈
[00:02:34--00:02:37] 祥宇的总论文引用已经超过了37万
[00:02:37--00:02:38] 对吧
[00:02:38--00:02:39] 然后还有一个特别有意思的
[00:02:39--00:02:43] 就是在AI圈的口碑非常好
[00:02:43--00:02:44] 我问过非常多的研究员
[00:02:44--00:02:49] 就是你们觉得新一代的华人AI科学家谁最牛
[00:02:49--00:02:50] 祥宇的名字是提的
[00:02:50--00:02:51] 我说是最多的
[00:02:51--00:02:53] 今天我们不聊通关竞争
[00:02:53--00:02:55] 也不聊接约公司具体的
[00:02:55--00:02:58] 我们就从比较纯粹的技术动念的角度
[00:02:58--00:03:00] 聊聊AGA
[00:03:00--00:03:04] 反正也听听祥宇从个人研究视角的一些技术动念
[00:03:04--00:03:05] 反正今天我们重点聊聊
[00:03:05--00:03:07] 比如说接下来两三年
[00:03:07--00:03:10] 还有哪些潜在的GDP4时刻
[00:03:10--00:03:12] 默融合的大一统的架构
