[00:00:06--00:00:07] 开了一扇窗户
[00:00:07--00:00:09] 它并不是开了一个很敞开很大的一个门
[00:00:09--00:00:10] 说你随便走吧
[00:00:10--00:00:12] 所以我们是首先吃螃蟹的人
[00:00:12--00:00:13] 跟投资人当时讲这个事的时候
[00:00:13--00:00:14] 他们兴奋吗
[00:00:14--00:00:14] 听不懂
[00:00:14--00:00:15] 完全听不懂
[00:00:15--00:00:16] 这是什么东西
[00:00:16--00:00:17] 你们怎么挣钱
[00:00:17--00:00:19] 怎么把这个东西商业化了
[00:00:19--00:00:19] 投资人问的都是这个
[00:00:19--00:00:20] 我印象特别深刻
[00:00:20--00:00:21] 有个投资人
[00:00:21--00:00:22] 这东西
[00:00:22--00:00:23] 你们能变成钱吗
[00:00:23--00:00:24] 你看这个大环境怎么差
[00:00:24--00:00:25] 经济怎么差
[00:00:25--00:00:26] 要不你们把估值降一半
[00:00:26--00:00:27] 怎么样
[00:00:27--00:00:28] 我听过一个评论
[00:00:28--00:00:29] 就是在讲智普的
[00:00:29--00:00:31] 因为智普其实一直不算是市场上最火
[00:00:31--00:00:32] 最明星的项目
[00:00:36--00:00:38] 但是看起来会有点boring
[00:00:38--00:00:39] 他给我一个描述说
[00:00:39--00:00:40] 就像水泥一样
[00:00:40--00:00:41] 他能干得很漂亮
[00:00:41--00:00:43] 但是他就是没有太多的情绪价值
[00:00:43--00:00:46] Hello 姐姐好
[00:00:46--00:00:49] 欢迎收听张小俊商业访谈录
[00:00:49--00:00:50] 我是小俊
[00:00:50--00:00:52] 这是一档由语言机世界工作室
[00:00:52--00:00:54] 出品的深度访谈节目
[00:00:54--00:00:55] 我们希望和你一起
[00:00:55--00:00:58] 从这里探索新世界
[00:00:58--00:01:00] 上市前夕
[00:01:00--00:01:01] 智普CEO张鹏
[00:01:01--00:01:04] 在一次出差途中摔断了跟腱
[00:01:04--00:01:06] 到达访谈地点时
[00:01:06--00:01:08] 他拄着衣服
[00:01:08--00:01:08] 拐杖
[00:01:08--00:01:12] 当时智普确切的上市时间尚未明朗
[00:01:12--00:01:14] 他与minimax之间
[00:01:14--00:01:16] 围绕全球大模型第一股的竞争
[00:01:16--00:01:18] 仍在持续
[00:01:18--00:01:20] 结果并未尘埃落定
[00:01:20--00:01:22] 张鹏提到一句西方俚语
[00:01:22--00:01:23] Break a leg
[00:01:23--00:01:24] 摔断一条腿
[00:01:24--00:01:27] 它通常意味着祝你好运
[00:01:27--00:01:30] 几天之后结果揭晓
[00:01:30--00:01:31] 智普确定于
[00:01:31--00:01:33] 2026年1月8日
[00:01:33--00:01:34] 也就是今天
[00:01:34--00:01:37] 登陆港交所成为中国首家
[00:01:37--00:01:38] 上市的大模型
[00:01:38--00:01:39] 公司
[00:01:39--00:01:40] 这也意味着
[00:01:40--00:01:43] 它将是全球大模型第一股
[00:01:43--00:01:46] 就在这个意味深长的历史性的时刻
[00:01:46--00:01:50] 我与张鹏做了一场三小时的长谈
[00:01:50--00:01:51] 一百年后
[00:01:51--00:01:54] 如果智普会出现在人物智能的历史书上
[00:01:54--00:01:55] 你希望他是被怎么撰写的
[00:01:55--00:01:59] 智普是AGI历史上的一个先行者
[00:01:59--00:02:02] 就开路的人
[00:02:02--00:02:04] 这是张小俊商业访谈录
[00:02:04--00:02:07] 与大家2026年见面的第一集节目
[00:02:07--00:02:09] 祝大家新年快乐
[00:02:09--00:02:10] 期待在2026年
[00:02:10--00:02:13] 我们与AI一起进步
[00:02:13--00:02:24] 张鹏老师先给观众朋友们打个招呼
[00:02:24--00:02:24] 大家好
[00:02:24--00:02:25] 小俊好
[00:02:25--00:02:27] 我来这栋楼感觉还挺恍惚的
[00:02:27--00:02:30] 因为从23年开始
[00:02:30--00:02:31] 我经常来这栋楼进行采访
[00:02:31--00:02:33] 然后那个时候这里有很多公司
[00:02:33--00:02:34] 比如说你们
[00:02:34--00:02:36] 然后有百川
[00:02:36--00:02:38] 还有当年的光年之外
[00:02:38--00:02:40] 今天这些公司感觉命运已经开始
[00:02:40--00:02:42] 分化和编的迥异了
[00:02:42--00:02:44] 你有什么想说的
[00:02:44--00:02:45] 说长吧
[00:02:45--00:02:46] 你说
[00:02:46--00:02:47] 6年多时间
[00:02:47--00:02:50] 你从23年开始算到现在可能就3年时间
[00:02:50--00:02:51] 但是说我们
[00:02:51--00:02:54] 智普成立开始算也6年多时间
[00:02:54--00:02:56] 6年多时间说长不长
[00:02:56--00:02:58] 但是其实发生了非常非常多的事情
[00:02:58--00:03:00] 我们有时候经常感慨
[00:03:00--00:03:03] 可能过去需要10年15年发生的事情
[00:03:03--00:03:04] 可能就在这
[00:03:04--00:03:06] 5 6年的时间里面就发生了
[00:03:06--00:03:09] 所以确实是变化很大吧
[00:03:09--00:03:10] 但是也
[00:03:10--00:03:12] 也很感慨智普能走到今天
[00:03:12--00:03:13] 也非常不容易
[00:03:13--00:03:16] 是怎么开始这段旅程的
[00:03:16--00:03:21] 可能我在有一些场合跟大家讲过我们出来创业的这个故事
[00:03:21--00:03:23] 因为我的履历也非常的简单
[00:03:23--00:03:24] 其实大家就是清华
[00:03:24--00:03:27] 对基本上从98年进了清华就没离开过
[00:03:27--00:03:29] 到现在为止也在给清华打工
[00:03:29--00:03:31] 因为是我们的股东
[00:03:31--00:03:34] 那我毕业以后其实就在清华大学的计算机系工作
[00:03:34--00:03:36] 在实验室里面工作
[00:03:36--00:03:37] 叫知识工程
[00:03:37--00:03:39] 就是人工智能相关的这些事情
[00:03:39--00:03:42] 那到1516年左右的时候
[00:03:42--00:03:45] 其实是一个很关键的一个点
[00:03:45--00:03:45] 因为之前
[00:03:45--00:03:47] 像我们实验室里面也走出去过
[00:03:47--00:03:49] 像唐文斌
[00:03:49--00:03:51] 杨木这些学生
[00:03:51--00:03:54] 然后很成功的对对对很成功的创立创办了框式
[00:03:54--00:03:56] 对框式联合创始人对对对
[00:03:56--00:03:58] 也是上一代
[00:03:58--00:04:00] 我们叫上一代人工智能四小龙之一吧
[00:04:00--00:04:01] AI 1.0时代
[00:04:01--00:04:03] 对所以在那个时候
[00:04:03--00:04:04] 1516年的时候
[00:04:04--00:04:06] 其实我们在内部就在讨论这个问题
[00:04:06--00:04:08] 当然是在实验室里面讨论这个问题
[00:04:08--00:04:11] 看到这些企业其实非常的成功
[00:04:11--00:04:13] 也在市场上也取得了一定的成就
[00:04:13--00:04:15] 也面临一些问题
[00:04:15--00:04:15] 但是
[00:04:15--00:04:19] 因为我们当时在学校里面更多还关注的是说技术本身的演进
[00:04:19--00:04:21] 到底有什么样的一些问题
[00:04:22--00:04:27] 其实那时候很多大家其实对于未来人工智能技术的演进这个事情其实看得更远
[00:04:27--00:04:29] 他们会觉得说
[00:04:29--00:04:31] 其实像CV
[00:04:31--00:04:34] 像早期的NLP有积极学习的这些方法
[00:04:34--00:04:37] 可能也就挺好把就在这了
[00:04:37--00:04:40] 他可能也做不到我们说理想当中的通用人工智能啊
[00:04:40--00:04:41] 等等这些事情
[00:04:41--00:04:42] 那时候还没有这个概念吧
[00:04:42--00:04:43] 通用人工智能
[00:04:43--00:04:44] AGI是有的
[00:04:44--00:04:45] AGI是有
[00:04:45--00:04:45] 但是呢
[00:04:45--00:04:50] 这个当时的这个第一代这个人工智能企业之后再往后是什么
[00:04:50--00:04:52] 这大家其实想不太清楚
[00:04:52--00:04:55] 所以大家是借着这个问题看到了这个现象
[00:04:55--00:04:58] 借着这个问题在讨论说我们下一代应该怎么办
[00:04:58--00:04:59] 像张伯渊时啊
[00:04:59--00:05:01] 带着我们系里面很多老师
[00:05:01--00:05:05] 包括我们这个年轻的一些人一起在Brainstorming
[00:05:05--00:05:06] 然后在聊这个事情
[00:05:06--00:05:10] 所以那个时候其实就逐渐的有一点想法说我们要去做下一代的人工智能
[00:05:10--00:05:11] 这个事
[00:05:11--00:05:13] 当时就想做下一代人工智能
[00:05:13--00:05:14] 没错
[00:05:14--00:05:14] 其实有两个点
[00:05:14--00:05:15] 第一个就是说
[00:05:15--00:05:18] 技术上现有的这些技术
[00:05:18--00:05:20] 它确实有听话版的
[00:05:20--00:05:21] 你再怎么样做
[00:05:21--00:05:22] 它比如人脸识别
[00:05:22--00:05:23] 它超过人又怎么样呢
[00:05:23--00:05:25] 超过人之后没有意义了
[00:05:25--00:05:28] 就是再往上已经无法再去突破了
[00:05:28--00:05:30] 它能取得的产业效果也就这个样子
[00:05:30--00:05:32] 那下一代的技术是什么
[00:05:32--00:05:34] 第二个点是说
[00:05:34--00:05:36] 也看到了这一代
[00:05:36--00:05:39] 是上一代的人工智能企业的成功
[00:05:39--00:05:40] 也吸取了一个经验
[00:05:40--00:05:42] 人工智能这些事情
[00:05:42--00:05:43] 它本身不是一个纯科学
[00:05:43--00:05:44] 不是理论科学
[00:05:44--00:05:45] 它是一个工程
[00:05:45--00:05:46] 实践家理论科学
[00:05:46--00:05:50] 同步演进的这样一个综合性的学科
[00:05:50--00:05:52] 所以做下一代人工智能
[00:05:52--00:05:54] 不光是学校的事情
[00:05:54--00:05:55] 不光是研究的事情
[00:05:55--00:05:56] 也要到产业里去做
[00:05:56--00:05:58] 所以当时就这两个方面
[00:05:58--00:05:59] 一个是说
[00:05:59--00:06:00] 我们技术上还需要突破
[00:06:00--00:06:01] 做下一代
[00:06:01--00:06:02] 到底是什么
[00:06:02--00:06:03] 我们要把它想清楚
[00:06:03--00:06:04] 下一个
[00:06:04--00:06:06] 这个事情也需要在产业里面
[00:06:06--00:06:07] 慢慢去孵化它
[00:06:07--00:06:07] 去成熟它
[00:06:07--00:06:09] 所以那个时候就
[00:06:09--00:06:12] 其实给了我们一个契机
[00:06:12--00:06:13] 就是讨论说
[00:06:13--00:06:14] 下一代到底是什么
[00:06:14--00:06:14] 然后下一代的
[00:06:14--00:06:17] 这个事情到底要怎么去办
[00:06:17--00:06:17] 怎么去做
[00:06:17--00:06:20] 跟企业到底是什么关系
[00:06:20--00:06:21] 产业是什么关系
[00:06:21--00:06:24] 所以那是大概16年左右的事情
[00:06:24--00:06:26] 16年的第一个问题的结论
[00:06:26--00:06:27] 就是说我们产生了一个词
[00:06:27--00:06:28] 叫认知智能
[00:06:28--00:06:29] 认知智能
[00:06:29--00:06:31] 对 叫认知智能
[00:06:31--00:06:32] 就是那个时候
[00:06:32--00:06:33] 大概是在那个时候
[00:06:33--00:06:34] 16年左右的时候
[00:06:34--00:06:35] 那个时候还不叫通用智能
[00:06:35--00:06:35] 对吧
[00:06:35--00:06:38] 通用人工智能只是一个很大的目标
[00:06:38--00:06:39] 很大的一个目标
[00:06:39--00:06:41] 当然我们认为认知智能
[00:06:41--00:06:43] 是我们说的感知智能的下一代
[00:06:43--00:06:44] 就是
[00:06:44--00:06:48] 它是迈向通用人工智能的下一个台阶
[00:06:48--00:06:49] 是第二阶段
[00:06:49--00:06:51] 对 它并不等同于通用人工智能
[00:06:51--00:06:51] 因为那个时候
[00:06:51--00:06:54] 其实大家对通用人工智能觉得很遥远
[00:06:54--00:06:55] 我也定义不清楚
[00:06:55--00:06:57] 就不用强行去定义它
[00:06:57--00:07:00] 但是如果是下一步
[00:07:00--00:07:02] next step这个事情
[00:07:02--00:07:03] 我是可以尝试去定义它的
[00:07:03--00:07:05] 清华当时就已经有很多这种
[00:07:05--00:07:07] 跟产业界的合作对吧
[00:07:07--00:07:08] 非常多 很多
[00:07:08--00:07:09] 它有这种渊源
[00:07:09--00:07:11] 对 清华一直是
[00:07:11--00:07:12] 在人工智能这一块
[00:07:12--00:07:14] 是非常重视产业落地的
[00:07:14--00:07:17] 做了很多的跟企业的合作
[00:07:17--00:07:18] 对吧
[00:07:18--00:07:21] 不光是纯粹在实验室里面做研究
[00:07:21--00:07:22] 做应用 做落地
[00:07:22--00:07:24] 当时我们实验室
[00:07:24--00:07:26] 其实还是非常厉害的
[00:07:26--00:07:27] 当时我们在那个年代的时候
[00:07:27--00:07:28] 是少有的
[00:07:28--00:07:30] 可以拿我们的技术去挣美金的
[00:07:30--00:07:31] 怎么挣
[00:07:31--00:07:32] 就跟国外企业合作
[00:07:32--00:07:34] 它付我们都是美金
[00:07:34--00:07:36] 少有的能挣美金的实验室
[00:07:36--00:07:38] 对 就是说明那个时候
[00:07:38--00:07:41] 其实中国的人工智能技术和研究
[00:07:41--00:07:42] 还是比较靠前的
[00:07:42--00:07:43] 比较靠前
[00:07:43--00:07:44] 所以那个是在那个年代
[00:07:44--00:07:45] 到16年的时候
[00:07:45--00:07:48] 我们就基本上心里就有这个准备
[00:07:48--00:07:50] 就要去做一个企业
[00:07:50--00:07:51] 拿我们的一些
[00:07:51--00:07:53] 阶段性的研究性的成果
[00:07:53--00:07:55] 来去寻找下一代人工智能
[00:07:55--00:07:56] 就认知智能的这个路径
[00:07:56--00:07:59] 为什么是要你们几个人来开始做
[00:07:59--00:08:00] 这个是有渊源的吗
[00:08:00--00:08:02] 这个不是别人要我们怎么做
[00:08:02--00:08:03] 是你们想做
[00:08:03--00:08:04] 这是我们自己想做
[00:08:04--00:08:06] 我当时在实验室里做工作的时候
[00:08:06--00:08:08] 其实负责的就是
[00:08:08--00:08:09] 就叫工程转化这一块
[00:08:09--00:08:12] 教授们带着学生们做研究
[00:08:12--00:08:13] 博士们说什么做研究
[00:08:13--00:08:14] 做完研究的这个东西
[00:08:14--00:08:15] 他可能发paper了
[00:08:15--00:08:16] 做了一个prototype
[00:08:16--00:08:18] 做了一些简单的代码
[00:08:18--00:08:20] 但是我要去deliver给
[00:08:20--00:08:23] 这个我的企业的客户
[00:08:23--00:08:25] 说企业的客户的要求
[00:08:25--00:08:27] 肯定不只是说一篇paper
[00:08:27--00:08:29] 或者说几个prototype的代码
[00:08:29--00:08:31] 我需要是一个system
[00:08:31--00:08:32] 需要是一个product
[00:08:32--00:08:34] 那段时候我就带着一帮人
[00:08:34--00:08:35] 在做这些事情
[00:08:35--00:08:37] 清华一直有这个工程转化的职位
[00:08:37--00:08:38] 对我们清华的一个
[00:08:38--00:08:40] 非常有意思的事情
[00:08:40--00:08:41] 一直有
[00:08:41--00:08:42] 我们系也一直有
[00:08:42--00:08:44] 我们实验室优胜
[00:08:44--00:08:46] 所以这是我们的传统
[00:08:46--00:08:49] 就是从我的导师建立这个实验室开始
[00:08:49--00:08:50] 他就非常重视这个事情
[00:08:50--00:08:51] 他提了一个概念叫
[00:08:51--00:08:53] 我到现在还记得特别清楚
[00:08:53--00:08:54] 叫P2P
[00:08:54--00:08:57] 不是那个爆雷的那个网贷P2P
[00:08:57--00:08:59] 它叫paper to project
[00:08:59--00:09:01] 或者叫paper to product
[00:09:01--00:09:03] 就是你的paper研究成果
[00:09:03--00:09:06] 一定要转换成实际能用的产品
[00:09:06--00:09:07] 或者系统
[00:09:07--00:09:09] 你看现在这个清华
[00:09:09--00:09:11] 基本上工科类的这种院系
[00:09:11--00:09:13] 现在基本上推广这个概念
[00:09:13--00:09:14] 已经非常普遍了
[00:09:14--00:09:16] 对于原来博士生来说
[00:09:16--00:09:18] 可能你交一篇博士论文
[00:09:18--00:09:19] 然后理论上有突破
[00:09:19--00:09:20] OK就可以了
[00:09:20--00:09:22] 但现在基本上都要求
[00:09:22--00:09:23] 要有实际的system
[00:09:23--00:09:25] 要有实际的应用
[00:09:25--00:09:26] 这其实就是一个推广的过程
[00:09:26--00:09:27] 大家都接受了这个概念
[00:09:27--00:09:28] 所以早期的时候
[00:09:28--00:09:29] 其实我们就有这个基因
[00:09:29--00:09:31] 就有这个想法做这个事情
[00:09:31--00:09:33] 所以我们当时就认为说
[00:09:33--00:09:35] 我们既有研究上的前沿
[00:09:35--00:09:36] 又有这个水平
[00:09:36--00:09:38] 那工程上
[00:09:38--00:09:39] 我们把研究成果转换成工程
[00:09:39--00:09:41] 我们又有这样的基因
[00:09:41--00:09:42] 又有这样的能力
[00:09:42--00:09:44] 其实这个事情就满足了
[00:09:44--00:09:45] 两个条件
[00:09:45--00:09:46] 我们可以去把它
[00:09:46--00:09:48] 在产业化的这个角度来说
[00:09:48--00:09:49] 把它落地
[00:09:49--00:09:51] 同时反补
[00:09:51--00:09:52] 用我们的工程时间
[00:09:52--00:09:54] 来反补我们的研究工作
[00:09:54--00:09:56] 所以这个就是我们
[00:09:56--00:09:57] 选择做这个事情的动因
[00:09:57--00:09:59] 不是谁要求我们去做这种事情
[00:09:59--00:10:02] 当然有一些老师们
[00:10:02--00:10:04] 倒是也还提过这件事
[00:10:04--00:10:05] 就比如说张博老师
[00:10:05--00:10:07] 还很清楚的跟我们讲过
[00:10:07--00:10:08] 他说人工智能这件事情
[00:10:08--00:10:10] 它就是一个
[00:10:10--00:10:12] 跟产业紧密不可分的事情
[00:10:12--00:10:13] 你们就应该去产业里面
[00:10:13--00:10:14] 去做这个事
[00:10:14--00:10:15] 不管是研究
[00:10:15--00:10:18] 还是真正的去商业化
[00:10:18--00:10:21] 这个都是一个产业的事情
[00:10:21--00:10:22] 是浦游几位联合创始人
[00:10:22--00:10:23] 你们当时的分工是什么样的
[00:10:23--00:10:24] 就在学校里面
