[00:00:03--00:00:10] Hello 大家好,欢迎收听张小俊商业访谈录,我是小俊
[00:00:10--00:00:14] 这是一档由语言级世界工作室出品的深度访谈节目
[00:00:14--00:00:18] 我们希望和你一起从这里探索新世界
[00:00:18--00:00:23] 今天这期节目很特殊
[00:00:23--00:00:27] 我们的录制时间是2025年的12月1日
[00:00:27--00:00:31] 嘉宾是Minus联合创始人和首席科学家记忆超PIC
[00:00:31--00:00:37] 就在刚过去的凌晨,Meta宣布全资收购Minus
[00:00:37--00:00:41] 而在这期节目抑制的彼时也都是月初
[00:00:41--00:00:43] 收购事件尚未发生
[00:00:43--00:00:48] 最终,这期节目成为了Minus最后的访谈
[00:00:48--00:00:58] Hello,PIC,先给大家打个招呼,给你做一个简单的自我介绍
[00:00:58--00:01:01] 好,大家好,我叫记忆超,朋友叫我PIC
[00:01:01--00:01:04] 我是MinusAI的Co-Founder and Chief Scientist
[00:01:04--00:01:06] 然后今天很荣幸能参与这个节目的录制
[00:01:06--00:01:09] 你从小的经历感觉就很与众不同
[00:01:09--00:01:11] 就是很小,四岁就去了美国
[00:01:11--00:01:13] 然后二年级又回国,高中开始创业
[00:01:13--00:01:15] 大学辍学了,又创业
[00:01:15--00:01:18] 然后又读完了研究生,你讲讲你的这段经历吧
[00:01:18--00:01:21] 首先得从我家庭背景,就我觉得我很幸运
[00:01:21--00:01:23] 就是我的父亲是北大物理系教授
[00:01:23--00:01:25] 就是传统意义上的科学家
[00:01:25--00:01:28] 然后我母亲算是老一辈中关村联系创业者
[00:01:28--00:01:30] 当然现在可能可以叫企业家吧
[00:01:30--00:01:32] 所以就是我从小在一个这两种
[00:01:32--00:01:33] 怎么说你不叫文化吧
[00:01:33--00:01:35] 就两种不同的风格中一块去成长
[00:01:35--00:01:37] 我可能就在两者中取了一个中间点
[00:01:37--00:01:39] 就是所谓科技创业者
[00:01:39--00:01:42] 然后我从小的话其实就是不是那种聪明孩子
[00:01:42--00:01:43] 就学习也就一般
[00:01:43--00:01:46] 但是呢就是比较喜欢自己瞎琢磨
[00:01:46--00:01:46] 多一般
[00:01:46--00:01:50] 就偏科吧,偏科吧
[00:01:50--00:01:53] 就是其实我不知道我学习到底好不好
[00:01:53--00:01:54] 或者聪明不聪明
[00:01:54--00:01:55] 因为我觉得我就没怎么学
[00:01:55--00:01:57] 然后我比较幸运的是就是
[00:01:57--00:01:59] 我很早就找到自己喜欢做的事
