[00:00:12--00:00:15] 我可以这么说吗
[00:00:15--00:00:18] 梅夏尔德斯奔驰现在正处于一个转折点
[00:00:18--00:00:21] 而你是转型时期的首席执行官
[00:00:21--00:00:22] 对吧
[00:00:22--00:00:23] 确实如此
[00:00:23--00:00:26] 在接管之前
[00:00:26--00:00:28] 我就知道公司有这样的决定
[00:00:28--00:00:30] 差不多是六个月前
[00:00:30--00:00:33] 我知道这肯定是要发生的
[00:00:33--00:00:35] 而一旦你成为首席执行官
[00:00:35--00:00:36] 回头再看
[00:00:36--00:00:38] 没有其他人
[00:00:38--00:00:39] 只有你
[00:00:39--00:00:40] 你别无选择
[00:00:40--00:00:47] 在你担任首席执行官的这六年里
[00:00:47--00:00:49] 最开始售出的每一百辆汽车中
[00:00:49--00:00:51] 只有不到五辆是电动的
[00:00:51--00:00:52] 相比之下
[00:00:52--00:00:56] 如今几乎每两辆车中就有一辆是电动的
[00:00:56--00:00:57] 这是否意味着
[00:00:57--00:00:59] 你们在中国的电动车制战中
[00:00:59--00:01:00] 已经输了
[00:01:00--00:01:02] 绝对不是
[00:01:02--00:01:04] 你要看这一转变
[00:01:04--00:01:05] 在中国是如何发生的
[00:01:05--00:01:14] 这是百年一遇的转变
[00:01:14--00:01:15] 这是百年一遇的转变
[00:01:15--00:01:17] 在竞争激烈的环境中
[00:01:17--00:01:20] 不仅要注意现有的老牌竞争对手
[00:01:20--00:01:23] 也许其中一些是你认识一百多年的竞争对手
[00:01:23--00:01:25] 他们不容小觑
[00:01:25--00:01:27] 但是对新的对手也不能掉以轻心
[00:01:30--00:01:33] 当我第一次读到关于DeepSeek的报道时
[00:01:33--00:01:35] 我打电话给我们的战略主管
[00:01:35--00:01:36] 他是中国人
[00:01:36--00:01:38] 在北京和斯图加特两地工作
[00:01:38--00:01:39] 我问他
[00:01:39--00:01:40] 高旭
[00:01:40--00:01:43] 我读到一篇关于DeepSeek的文章
[00:01:43--00:01:44] 他说真的吗
[00:01:44--00:01:45] 让我看看
[00:01:45--00:01:48] 这家公司的成功表明
[00:01:48--00:01:50] 只要使用更聪明的方法
[00:01:50--00:01:52] 创新也可以一蹴而就
[00:01:52--00:02:01] 当你做出每一个重大决策时
[00:02:01--00:02:04] 有没有觉得奔驰的创始人卡尔本斯先生
[00:02:04--00:02:06] 在远处关注着你
[00:02:06--00:02:08] 这会让你有很大的压力吗
[00:02:08--00:02:14] 我的职责是梅赛德斯奔驰品牌的监护人
[00:02:14--00:02:17] 我的职责是梅赛德斯奔驰品牌的监护人
[00:02:17--00:02:22] 我的工作是确保当我将品牌移交给下一任时
[00:02:22--00:02:24] 公司状态比我接管时更好
[00:02:24--00:02:33] Hello 大家好
[00:02:33--00:02:36] 欢迎收听张小俊商业访谈录
[00:02:36--00:02:37] 我是小俊
[00:02:37--00:02:41] 支持一档提供一手高密度信息的商业访谈节目
[00:02:41--00:02:43] 2025年3月底
[00:02:43--00:02:45] 奔驰汽车的全球CEO康林松先生
[00:02:45--00:02:49] Mr.Ola Kalinic来华九天
[00:02:49--00:02:51] 期间我对他做了一次访谈
[00:02:51--00:02:53] 奔驰是世界上第一个货车商业的商业访谈录
[00:02:53--00:02:55] 发明了燃油车的公司
[00:02:55--00:03:00] 而现在正处于奔驰139年历史上最重大的变革时期
[00:03:00--00:03:05] 可以说康林松是主导这场关键变革的一名转型期CEO
[00:03:05--00:03:08] 他1969年出生于瑞典
[00:03:08--00:03:09] 1993年加入奔驰
[00:03:09--00:03:12] 绝大多数的职业生涯都在奔驰度过
[00:03:12--00:03:14] 那六年前呢
[00:03:14--00:03:17] 他在2019年担任了奔驰的全球CEO
[00:03:17--00:03:18] 值得一提的是
[00:03:18--00:03:23] 他是奔驰历史上第一位在上任时的非得意的CEO
[00:03:23--00:03:28] 我和康林松先生聊了聊他上任六年的重要的战略决策
[00:03:28--00:03:30] 包括豪华车战略
[00:03:30--00:03:31] 电动化战略
[00:03:31--00:03:33] 中国市场的成与败
[00:03:33--00:03:36] 科技平权与豪华车是否存在悖论
[00:03:36--00:03:42] 以及在他领导之下的这场奔驰有史以来最重大的关键变革
[00:03:42--00:03:48] 我想给大家呈现的是一个转折之中的139岁巨人
[00:03:48--00:03:50] 那还是那句话
[00:03:50--00:03:53] 2025我们和AI共同进步
[00:03:53--00:04:03] 你好康林松先生
[00:04:03--00:04:06] 很期待今天和你的谈话
[00:04:06--00:04:09] 好的尽管提问
[00:04:09--00:04:11] 你准备好了吗
[00:04:11--00:04:12] 准备好了
[00:04:12--00:04:14] 首先我想先聊聊中国市场
[00:04:14--00:04:17] 过去六年你对中国市场最重要的观点是什么
[00:04:17--00:04:29] 我认为要从两个方面来说
[00:04:29--00:04:30] 首先是速度
[00:04:30--00:04:32] 有一种说法叫中国速度
[00:04:32--00:04:35] 在中国没有人会浪费时间
[00:04:35--00:04:36] 一直都在前进
[00:04:36--00:04:38] 这是一个方面
[00:04:38--00:04:41] 中国市场也是创新的
[00:04:41--00:04:43] 特别是在数字空间
[00:04:43--00:04:44] 智能驾驶
[00:04:44--00:04:45] 智能座舱
[00:04:45--00:04:47] 语音交互等方面
[00:04:47--00:04:50] 所以对我们来说
[00:04:50--00:04:52] 与领先的科技公司合作也很重要
[00:04:52--00:04:54] 腾讯就是其中之一
[00:04:54--00:04:56] 与这些科技公司合作
[00:04:56--00:04:58] 将中国客户想要的技术
[00:04:58--00:05:00] 比如他们手机上常用的
[00:05:00--00:05:01] 也应用到汽车里
[00:05:01--00:05:04] 所以我觉得速度和技术
[00:05:04--00:05:06] 是我对中国市场最深的印象
[00:05:06--00:05:12] 但是据我所知
[00:05:12--00:05:14] 你们在中国的市场份额
[00:05:14--00:05:15] 过去三年一直在下滑
[00:05:15--00:05:18] 电动车的销量也没有达到预期
[00:05:18--00:05:19] 你认为是什么原因导致的
[00:05:19--00:05:22] 这种趋势还会持续吗
[00:05:22--00:05:28] 回顾15年甚至20年前
[00:05:28--00:05:29] 当时我们看到的
[00:05:30--00:05:30] 刚开始有起色
[00:05:30--00:05:33] 而现在的北京奔驰
[00:05:33--00:05:36] 已经有20年的生产和销售经验
[00:05:36--00:05:39] 20年前的我们
[00:05:39--00:05:40] 永远无法想象
[00:05:40--00:05:42] 从几千台的销量
[00:05:42--00:05:42] 到现在
[00:05:42--00:05:45] 每年会卖出几十万辆汽车
[00:05:45--00:05:51] 去年我们在中国的销售
[00:05:51--00:05:52] 超过70万辆
[00:05:52--00:05:53] 非常可观
[00:05:53--00:05:56] 因此尽管市场竞争非常激烈
[00:05:56--00:05:58] 也有新的品牌进入
[00:05:58--00:05:59] 更注重销量的车企
[00:06:00--00:06:01] 也在相互竞争
[00:06:01--00:06:04] 让我们再尽量避开这种竞争
[00:06:04--00:06:07] 保护现有奔驰汽车的剩余价值
[00:06:07--00:06:10] 如果你买了一辆奔驰
[00:06:10--00:06:12] 你不会买了三年后就扔掉
[00:06:12--00:06:13] 它有内在的价值
[00:06:13--00:06:14] 比如说
[00:06:14--00:06:16] 你买了一块做工精良的手表
[00:06:16--00:06:18] 它的使用寿命更长
[00:06:18--00:06:21] 现在我们的电动车销量
[00:06:21--00:06:22] 开始实现有机增长
[00:06:22--00:06:23] 当然
[00:06:23--00:06:25] 整体看的话
[00:06:25--00:06:27] 我们还是在高端轻混
[00:06:27--00:06:28] 或者混动燃油车领域
[00:06:28--00:06:28] 占据主导地位的车辆车
[00:06:28--00:06:29] 我们的电动车销量开始实现有机增长
[00:06:29--00:06:29] 当然
[00:06:29--00:06:29] 整体看的话
[00:06:29--00:06:30] 占据主导地位
[00:06:30--00:06:32] 我们正在开发的产品
[00:06:32--00:06:33] 除了电车
[00:06:33--00:06:35] 还有以这款全新CLA
[00:06:35--00:06:37] 作为开始的第二代电动车
[00:06:37--00:06:39] 未来三年
[00:06:39--00:06:40] 我们将推出更多的车型
[00:06:40--00:06:43] 比以往任何时候都要多
[00:06:43--00:06:45] 其中大多数是电动车
[00:06:45--00:06:48] 我们非常关注新能源汽车领域
[00:06:48--00:06:49] 希望将其发展壮大
[00:06:49--00:06:51] 一些客户
[00:06:51--00:06:53] 尤其是高端客户
[00:06:53--00:06:55] 将奔驰视为高端瑞士手表
[00:06:55--00:06:57] 我们也在进一步开发高端车型
[00:06:57--00:06:58] 无论你是买电动车
[00:06:58--00:06:59] 还是买电动车
[00:07:00--00:07:01] 如果你买高端混动车型
[00:07:01--00:07:03] 你都会得到同样的智能
[00:07:03--00:07:07] 所以我们仍保持很稳定的地位
[00:07:07--00:07:11] 我们选择为客户保留品牌价值
[00:07:11--00:07:13] 而不是冲击销售表上的数字
[00:07:13--00:07:15] 但我们也必须意识到
[00:07:15--00:07:16] 正如你所说
[00:07:16--00:07:19] 市场正在以不同的速度发展
[00:07:19--00:07:21] 去年以欧洲市场为例
[00:07:21--00:07:24] 纯电车型在欧洲市场
[00:07:24--00:07:26] 约占13%的份额
[00:07:26--00:07:30] 如果你五年前问我
[00:07:30--00:07:33] 认为2024年欧洲市场会是什么样的
[00:07:33--00:07:37] 我会说至少占比25%
[00:07:37--00:07:39] 北美甚至还要低
[00:07:39--00:07:41] 低于10%
[00:07:41--00:07:43] 而在中国
[00:07:43--00:07:46] 你们有50%的新能源汽车
[00:07:46--00:07:48] 包括插电式混合动力车
[00:07:48--00:07:49] 和增程式汽车
[00:07:49--00:07:53] 都属于新能源汽车
[00:07:53--00:07:54] 我们的计划是什么
[00:07:54--00:07:56] 我们的计划是
[00:07:56--00:07:58] 我们计划维持现有优势
[00:07:58--00:08:00] 但确保我们的客户
[00:08:00--00:08:01] 最迟在2030年
[00:08:01--00:08:03] 在所有细分市场中
[00:08:03--00:08:05] 都有电动车型可挑选
[00:08:05--00:08:07] 但如果2030年
[00:08:07--00:08:09] 全球市场并没有达成
[00:08:09--00:08:11] 100%纯电动那怎么办
[00:08:11--00:08:13] 我们将能够
[00:08:13--00:08:15] 同时为市场提供燃油和电动
[00:08:15--00:08:16] 两种选择
[00:08:16--00:08:20] 但我们肯定要坚持最初的战略
[00:08:20--00:08:21] 在2030年前
[00:08:21--00:08:24] 推出完整的电动车序列
[00:08:26--00:08:28] 让我给你们看一些数据
[00:08:28--00:08:29] 以一些数据来举例
[00:08:29--00:08:32] 根据中国汽车流通协会
[00:08:32--00:08:33] CADA的数据
[00:08:33--00:08:38] 2019年中国的电动车渗透率为4.7%
[00:08:38--00:08:41] 2024年这一比例已经高达了47.6%
[00:08:41--00:08:44] 这意味着
[00:08:44--00:08:46] 在你担任首席执行官的这6年里
[00:08:46--00:08:49] 最开始售出的每100辆汽车中
[00:08:49--00:08:51] 只有不到5辆是电动的
[00:08:51--00:08:54] 相比之下
[00:08:54--00:08:55] 如今几乎每两辆车中只有5辆是电动的
[00:08:55--00:08:55] 相比之下 如今几乎每两辆车中只有不到5辆是电动的
[00:08:55--00:08:57] 相比之下 如今几乎每两辆车中只有5辆是电动的
[00:08:57--00:08:58] 这是否意味着
[00:08:58--00:09:00] 你们在中国的电动车制战中
[00:09:00--00:09:01] 已经输了
[00:09:01--00:09:03] 绝对不是
[00:09:03--00:09:05] 你要看这一转变
[00:09:05--00:09:06] 在中国是如何发生的
[00:09:06--00:09:09] 电动化从底部开始上升
[00:09:09--00:09:12] 主要是从入门级城市轿车开始的
[00:09:12--00:09:13] 再到中级轿车
[00:09:13--00:09:16] 如果你看高级轿车的市场
[00:09:16--00:09:18] 我们在S级轿车市场中
[00:09:18--00:09:21] 占主导地位
[00:09:21--00:09:23] 我们的电动车市场份额
[00:09:23--00:09:25] 即使占总数的比例较小
[00:09:25--00:09:28] 但在高端轿车市场中
[00:09:28--00:09:30] 奔驰拥有最高的市场份额
[00:09:30--00:09:31] 但这还不够
[00:09:31--00:09:34] 我们要全面扩大我们的产品组合
[00:09:34--00:09:37] 这个产品组合中最大的细分市场
[00:09:37--00:09:40] 也是我们要最先开始行动的市场
[00:09:40--00:09:42] 是我们的入门级SUV
[00:09:42--00:09:47] 比如GLB或GLC这两种SUV车型
[00:09:47--00:09:51] C级车包括全新长轴距纯电CLA
[00:09:51--00:09:52] 可能还包括E级车
[00:09:55--00:09:59] 我认为最好的例子
[00:09:59--00:10:02] 是我们去年在中国推出的长轴距E级轿车
[00:10:02--00:10:06] 它主导着这一细分市场
[00:10:06--00:10:10] 采用的是一种电动化的高科技引擎
[00:10:10--00:10:13] 同时也拥有插电式混合动力车型
[00:10:13--00:10:15] 我们的顾客很喜欢它
[00:10:15--00:10:16] 正如我所说
[00:10:16--00:10:20] 一些顾客把奔驰看作是瑞士手表
[00:10:20--00:10:21] 象征永恒
[00:10:21--00:10:23] 我们不想忽视这些客户
[00:10:23--00:10:24] 如果要选择
[00:10:24--00:10:25] 这是我们目前的目标
[00:10:25--00:10:27] 我们要选择目前最好的车型
[00:10:27--00:10:29] 所以未来五年
[00:10:29--00:10:32] 对于抢占电动车市场份额至关重要
[00:10:32--00:10:38] 在2020年10月
[00:10:38--00:10:40] 奔驰宣布将重点转向豪华车市场
[00:10:40--00:10:42] 优先考虑高利润车型
[00:10:42--00:10:44] 尤其是高端豪华车
[00:10:44--00:10:48] 如S-Class G级AMG和迈巴赫
[00:10:48--00:10:49] 为什么转变这么快
[00:10:49--00:10:50] 在我看来
[00:10:50--00:10:52] 你们更强调豪华车战略
[00:10:52--00:10:53] 而不是电动化战略
[00:10:53--00:10:54] 是这样吗
[00:10:55--00:11:00] 不是这样的
[00:11:00--00:11:02] 因为我们的电动化
[00:11:02--00:11:03] 将自上而下发生
[00:11:03--00:11:06] 我们正在开发一种全新的电动架构
[00:11:06--00:11:09] 我们刚刚推出了一款
[00:11:09--00:11:10] 纯电G级车
[00:11:10--00:11:12] 这款无所不能的全地形王者
[00:11:12--00:11:14] 也推出了纯电版本
[00:11:14--00:11:17] 所以无论你是豪华车
[00:11:17--00:11:19] 还是入门级的车
[00:11:19--00:11:21] 电动化和对零排放的追求
[00:11:21--00:11:23] 都贯穿于整个产品组合
[00:11:23--00:11:25] 如果你研究一下
[00:11:25--00:11:25] 全地形王者
[00:11:25--00:11:26] 奔驰的起源
[00:11:26--00:11:28] 参观一下
[00:11:28--00:11:30] 我们在斯图加特的博物馆
[00:11:30--00:11:31] 你会看到
[00:11:31--00:11:33] 它就像一个历史博物馆
[00:11:33--00:11:36] 你会看到我们第一款造出的汽车
[00:11:36--00:11:38] 了解我们几十年
[00:11:38--00:11:40] 甚至一百多年的工程
[00:11:40--00:11:41] 卓越和汽车历史
[00:11:41--00:11:45] 你可以看到电影明星
[00:11:45--00:11:46] 国家领导人
[00:11:46--00:11:47] 行业领袖
[00:11:47--00:11:48] 都开过我们的车
[00:11:48--00:11:51] 所以奔驰更是令人向往的
[00:11:55--00:11:58] 如果你买了一款奔驰
[00:11:58--00:11:59] 你会觉得我做到了
[00:11:59--00:12:01] 我实现了愿望
[00:12:01--00:12:03] 这是你奖励自己的一种方式
[00:12:03--00:12:07] 表明你的生活达到了一个新的水平
[00:12:07--00:12:09] 这一直是奔驰魅力的一部分
[00:12:09--00:12:12] 在高端豪华车领域
[00:12:12--00:12:14] 我们也是全球最大的制造商
[00:12:14--00:12:16] 所以我们当然希望
[00:12:16--00:12:17] 扩大高端市场
[00:12:17--00:12:20] 并且从商业角度来看
[00:12:20--00:12:22] 这是一个有利润的市场
[00:12:22--00:12:24] 可以产生现金流
[00:12:24--00:12:25] 我们是自己的市场
[00:12:25--00:12:26] 我们是自己的风险投资家
[00:12:26--00:12:29] 可以合理利用赚到的钱
[00:12:29--00:12:32] 财务实力就等于创新实力
[00:12:32--00:12:34] 我们会将数十亿美元
[00:12:34--00:12:37] 重新投入到技术和新产品中
[00:12:37--00:12:38] 但这并不意味着
[00:12:38--00:12:40] 我们将退出我们所说的
[00:12:40--00:12:41] 核心的细分市场
[00:12:41--00:12:43] 其中包括C级
[00:12:43--00:12:44] E级
[00:12:44--00:12:46] GLC和GLE
[00:12:46--00:12:48] 正如你在这里看到的
[00:12:48--00:12:51] 我们今年推出的这种新架构
[00:12:51--00:12:52] 是一个全新的切入点
[00:12:52--00:12:55] 未来将有更多车型
[00:12:55--00:12:57] 所以对中国客户来说
[00:12:57--00:12:59] 我们的产品组合
[00:12:59--00:13:00] 将大致保持不变
[00:13:00--00:13:03] 但我们进行了大规模的技术升级
[00:13:03--00:13:04] 当然
[00:13:04--00:13:07] 我们也希望引领全新CLA
[00:13:07--00:13:08] 这个细分市场
[00:13:08--00:13:16] 我很好奇你喜欢中国汽车里的
[00:13:16--00:13:18] 彩电冰箱大沙发吗
[00:13:18--00:13:21] 正如我们在工程学中
[00:13:21--00:13:22] 所说的那样
[00:13:22--00:13:25] 空间布置是指如何从车辆的
[00:13:25--00:13:27] 进入到电子车中
[00:13:27--00:13:29] 获得最大空间
[00:13:29--00:13:31] 同时通过智能空气动力学
[00:13:31--00:13:33] 和各种其他手段
[00:13:33--00:13:36] 以智能的方式解决这个综合性问题
[00:13:36--00:13:39] 这可能是在当前的细分市场中
[00:13:39--00:13:41] 你可以从梅塞德斯奔驰
[00:13:41--00:13:43] 期望得到的所有的细节
[00:13:43--00:13:45] 现在要推出的这款全新CLA
[00:13:45--00:13:48] 可能是目前市场上最高效的汽车
[00:13:48--00:13:49] 与此同时
[00:13:49--00:13:51] 身高1米95的我
[00:13:51--00:13:53] 也可以很舒服的坐进去
[00:13:53--00:13:55] 这还只是一款入门级奔驰
[00:13:55--00:13:57] 坐在S级轿车里
[00:13:57--00:13:59] 我会觉得自己像个国王
[00:13:59--00:13:59] 竟想设立一个
[00:14:00--00:14:16] 现在我们的许多汽车都有所谓的超级屏,在车里横跨左右,这是消费者想要的大电视,并嵌入在一个像是高档客厅的环境中,甚至还配上意大利的品牌家具。
[00:14:19--00:14:23] 这会给人一种什么感觉呢?是如同在家里一样的舒适感。
[00:14:23--00:14:28] 当你进入我们的汽车时,有一种回家的感觉非常重要。
[00:14:30--00:14:36] 不管什么车型,我们的重点是提供最好的体验,这就是奔驰所关注的。
[00:14:37--00:14:43] 在你看来,你们在中国市场的成与败会决定在全球转型的成与败吗?
[00:14:47--00:14:57] 目前中国市场是节奏最快,竞争压力最大的市场。因此,如果你能在中国市场取得成功,你在世界各地市场取得成功的可能性就更高。
[00:14:58--00:14:59] 这里是最大的市场。
[00:15:00--00:15:03] 也是我们最大的市场。所以中国非常重要。
[00:15:03--00:15:13] 这就是为什么我们决定在中国为下一代产品投资140亿人民币,用于未来几年的运营、新产品和升级计划。
[00:15:13--00:15:16] 投资中国是最正确的决策。
[00:15:16--00:15:18] 这就是我们的选择。
[00:15:18--00:15:27] 在目前的情况而言,你们计划采用哪些创新策略来扭转在中国市场的局面?
[00:15:27--00:15:29] 建立我们的R&D构图。
[00:15:30--00:15:31] 我们在北京建立了一个研发中心。
[00:15:31--00:15:33] 我们的主要研发业务就在那里。
[00:15:33--00:15:35] 并且规模逐年增长。
[00:15:35--00:15:43] 一开始,我们更多的是想让产品适应中国市场,比如推出长轴距车型。
[00:15:43--00:15:45] 我们现在远远超出了这个规模。
