[00:00:03--00:00:04] Hello 大家好,我是小骏
[00:00:04--00:00:07] 2026年除了嘉宾访谈
[00:00:07--00:00:12] 我们也很希望推出一些由内部人士带来的产业单集
[00:00:12--00:00:14] 那今天就是这样的一次尝试
[00:00:14--00:00:19] 我们知道数据算力算法是驱动人工智能的三驾马车
[00:00:19--00:00:22] 今天这集节目我们邀请我们的返场嘉宾
[00:00:22--00:00:25] 光轮智能的创始人兼CEO谢晨
[00:00:25--00:00:30] 试图通过一集节目来完整地聊聊这其中的一驾马车
[00:00:30--00:00:31] 数据问题
[00:00:31--00:00:35] 我们尝试来做一个数据的产业综述
[00:00:35--00:00:39] 大圆模型的数据遇到的是壮强的难题
[00:00:39--00:00:42] 机器人的数据则处在一片荒漠之中
[00:00:42--00:00:45] 数据产业究竟是如何运转的
[00:00:45--00:00:48] 一些人正在探索的仿真数据数据金字塔
[00:00:48--00:00:51] 又将如何改变产业的格局呢
[00:00:51--00:00:54] 那接下来就是我对谢晨的访谈
[00:00:54--00:00:57] 如果大家对更多的产业话题感兴趣
[00:00:57--00:00:59] 欢迎在评论区里留言
[00:01:00--00:01:01] 期待我们在2026年
[00:01:01--00:01:04] 和AI共同进步
[00:01:04--00:01:06] 从你的视角告诉我们谁变得更激进了
[00:01:06--00:01:10] 我觉得自己肯定是更激进了
[00:01:10--00:01:11] 我觉得阿里
[00:01:11--00:01:13] 我觉得OpenAI
[00:01:13--00:01:16] 我觉得Dmine也绝对更激进了
[00:01:16--00:01:18] 对 我觉得英伟达
[00:01:18--00:01:19] 我觉得也更激进了
[00:01:19--00:01:22] 这就是五家角逐机器人大脑的团队
[00:01:22--00:01:24] 对 其实某种层面上
[00:01:24--00:01:25] 我认为Pi也应该属于这一类
[00:01:25--00:01:30] 其实最有效的数据是先失败再成功的数据
[00:01:30--00:01:31] 我觉得就是说
[00:01:31--00:01:34] 到了终局可能整体上来讲
[00:01:34--00:01:35] 就跟马斯克说的
[00:01:35--00:01:37] 咱们人可能就在一个仿真里头
[00:01:37--00:01:49] Hello Steve
[00:01:49--00:01:50] 先给观众朋友们打个招呼
[00:01:50--00:01:51] 谢谢小俊的邀请
[00:01:51--00:01:53] 我叫Steve
[00:01:53--00:01:54] 朱文明叫谢晨
[00:01:54--00:01:56] 我是光轮智能的创始人CEO
[00:01:56--00:01:58] Steve其实之前来过我们的播客节目
[00:01:58--00:02:01] 但是因为我们今天是第一次录视频播客
[00:02:01--00:02:03] 所以还是请Steve先给我们做个自我介绍
[00:02:03--00:02:05] 并且讲讲过往的经历
[00:02:05--00:02:08] 我最早是在这个北大物理读的本科
[00:02:08--00:02:11] 然后去这个哥伦比亚大学的商学院
[00:02:11--00:02:13] 读了一个量化金融的博士
