candidate	timestamp	asset	treatment
002	00:03:18	slide-01-two-kittens.jpg	Held-Hein active versus passive perception experiment
006	00:05:39	slide-02-generalist-agent-definition.jpg	open-ended objectives, world knowledge, and massively multi-task capability
007	00:05:45	slide-03-generalist-agent-requirements.jpg	three ingredients for generalist agents
008	00:06:18	slide-04-open-ended-environment.jpg	environment complexity upper-bounds agent capability
009	00:06:57	slide-05-internet-knowledge-base.jpg	internet-scale reference manual for agent skills
010	00:07:36	slide-06-foundation-model-for-agents.jpg	flexible foundation model for open-ended tasks
049	00:09:39	slide-07-minecraft-open-world.jpg	procedurally generated open-ended Minecraft world
053	00:10:06	slide-08-minedojo-three-components.jpg	open environment, agent, and internet knowledge base
054	00:10:24	slide-09-three-thousand-tasks-title.jpg	MineDojo task-suite transition
056	00:10:48	slide-10-task-categories.jpg	versatile simulator, programmatic tasks, and creative tasks
057	00:11:18	slide-11-inventory-tech-tree-combat.jpg	inventory, tech tree, and combat task spaces
069	00:11:57	slide-12-creative-task-examples.jpg	creative-task examples without simple success criteria
090	00:12:57	slide-13-firefight-open-ended-demo.jpg	open-ended creative firefighting demonstration
092	00:13:06	slide-14-internet-knowledge-sources.jpg	YouTube, Wiki, and Reddit knowledge sources
093	00:13:18	slide-15-internet-knowledge-scale.jpg	internet-scale Minecraft assets and semantic coverage
094	00:14:15	slide-16-minecraft-item-catalog.jpg	item, mob, and action catalog
096	00:14:24	slide-17-crafting-knowledge.jpg	structured crafting and recipe knowledge
097	00:14:33	slide-18-potion-recipe-graph.jpg	multi-step potion and ingredient dependency graph
098	00:14:42	slide-19-wiki-reddit-database.jpg	web pages, discussion, and interface knowledge
099	00:15:09	slide-20-human-open-ended-questions.jpg	human questions and creative mission examples
100	00:15:18	slide-21-generalist-agent-transition.jpg	transition from environment/database to agent learning
115	00:16:51	slide-22-mineclip-contrastive-reward.jpg	MineCLIP contrastive video-language reward
116	00:17:03	slide-23-rl-with-mineclip.jpg	language-conditioned RL using MineCLIP reward
121	00:19:00	slide-24-mineclip-results.jpg	MineCLIP-conditioned RL success table
122	00:19:57	slide-25-policy-robustness.jpg	zero-shot generalization and learned-policy robustness
127	00:21:39	slide-26-stringify-video.jpg	turning visual trajectories into symbolic interfaces
128	00:22:15	slide-27-mineflayer-javascript.jpg	Mineflayer JavaScript interface for Minecraft control
133	00:23:12	slide-28-voyager-data-flow.jpg	Voyager curriculum, code action, and memory data flow
134	00:23:27	slide-29-code-as-action.jpg	GPT-4 writes executable code to control an embodied agent
137	00:24:09	slide-30-iterative-prompting.jpg	environment feedback, errors, and self-verification
140	00:24:45	slide-31-critic-self-reflection.jpg	critic self-reflection over task progress
143	00:25:27	slide-32-skill-library-overview.jpg	persistent skill library for increasingly complex behavior
152	00:26:36	slide-33-retrieve-old-skills.jpg	retrieving and composing old skills for a new task
157	00:27:18	slide-34-automatic-curriculum.jpg	automatic curriculum over Minecraft tech tree
159	00:28:30	slide-35-proposed-next-task.jpg	curriculum proposes the next feasible novel task
162	00:29:03	slide-36-voyager-all-pieces.jpg	Voyager components assembled into a closed loop
166	00:30:21	slide-37-open-ended-exploration-results.jpg	tech-tree and exploration results
169	00:31:06	slide-38-map-coverage.jpg	spatial exploration and map-coverage comparison
172	00:33:36	slide-39-eureka-architecture.jpg	coding LLM, environment code, and reward optimization
176	00:35:24	slide-40-eureka-reward-reflection.jpg	LLM reflection over reward training feedback
177	00:35:36	slide-41-eureka-reward-code-diff.jpg	in-context reward-code and hyperparameter improvement
178	00:35:54	slide-42-dexterity-scaling.jpg	dexterity and Isaac simulation scaling evidence
179	00:37:36	slide-43-looking-forward-title.jpg	generalist-agent outlook transition
180	00:38:09	slide-44-two-foundation-directions.jpg	internet-scale video learning and multimodal foundation models
181	00:38:48	slide-45-internet-video-properties.jpg	cheap dynamic human-behavior data without action labels
197	00:39:39	slide-46-internet-video-example.jpg	representative internet video interaction example
198	00:40:18	slide-47-representation-from-video.jpg	video representation learning pipeline
199	00:40:45	slide-48-reward-from-video.jpg	learned reward functions from video
200	00:42:33	slide-49-behavior-cloning-from-video.jpg	behavior cloning and action reconstruction from video
201	00:43:03	slide-50-multimodal-foundation-model.jpg	unified text, image, video, and action model
206	00:43:48	slide-51-multimodal-prompting-robots.jpg	interleaved visual and textual prompts for robots
207	00:44:33	slide-52-vima-architecture.jpg	VIMA multimodal prompt and action architecture
210	00:44:51	slide-53-vima-visual-goal-reaching.jpg	visual goal-reaching example
214	00:45:03	slide-54-vima-concept-grounding.jpg	novel concept grounding from multimodal prompts
217	00:45:15	slide-55-vima-one-shot-demonstration.jpg	one-shot video demonstration following
221	00:45:48	slide-56-vima-constraint-satisfaction.jpg	visual constraint satisfaction
222	00:46:12	slide-57-rt2-robocat.jpg	RT-2 and RoboCat as generalist robot-agent examples
224	00:46:24	slide-58-minedojo-paper-overview.jpg	MineDojo paper and internet knowledge overview
225	00:46:27	slide-59-agent-learning-examples.jpg	open-world agent-learning examples
229	00:46:51	slide-60-multimodal-prompts-summary.jpg	multimodal prompt vocabulary and robot tasks
231	00:47:18	slide-61-human-level-minecraft-challenge.jpg	grand challenge of human-level Minecraft AI
