[00:00:00 - 00:00:02] 原来你做DeepResearch单独做的
[00:00:02 - 00:00:04] Coding单独做的
[00:00:04 - 00:00:05] Toruse单独做的
[00:00:05 - 00:00:06] GyA真的单独做的
[00:00:06 - 00:00:07] 其实你不能单独做
[00:00:07 - 00:00:07] 为什么呢
[00:00:07 - 00:00:08] 你都在这个电脑里
[00:00:08 - 00:00:10] 你是宏观上来看
[00:00:10 - 00:00:11] 目的是什么
[00:00:11 - 00:00:12] 所以我觉得就很多时候
[00:00:12 - 00:00:14] 人在讨论AI的时候
[00:00:14 - 00:00:16] 他在讨论的东西是不一样的
[00:00:16 - 00:00:18] 这是为什么我其实是
[00:00:18 - 00:00:20] 很不愿意去谈AGI这个词
[00:00:20 - 00:00:21] 我知道很多人也不愿意去谈这个词
[00:00:21 - 00:00:22] 因为你根本不知道
[00:00:22 - 00:00:23] 每个人在谈AGI的时候
[00:00:23 - 00:00:25] 他到底在谈什么
[00:00:25 - 00:00:26] 其实这种场景挺多的
[00:00:26 - 00:00:28] 就是一辈子就那么一两次
[00:00:28 - 00:00:32] 比如说办个签证生个孩子
[00:00:32 - 00:00:35] 对然后整个什么random app
[00:00:35 - 00:00:38] 孩子要生三个孩子
[00:00:38 - 00:00:41] 我一个很完整的promise
[00:00:41 - 00:00:42] 给到他之后
[00:00:42 - 00:00:44] 他会执行很长的时间
[00:00:44 - 00:00:46] 这个时候我就没有事情做
[00:00:46 - 00:00:47] 可能会切换任务
[00:00:47 - 00:00:50] 当下agent产品给我一个非常大的感受
[00:00:50 - 00:00:53] 就是我需要大量的平板的在任务边切换
[00:00:53 - 00:00:54] 可能任务代替的时候
[00:00:54 - 00:00:55] 我会切一个context
[00:00:55 - 00:00:56] 我上下班会切
[00:00:56 - 00:01:04] 我也会更疲惫
[00:01:04 - 00:01:06] 欢迎大家来到Ungrounded 步骤编辑
[00:01:06 - 00:01:08] 这是我们的第一期的录制
[00:01:08 - 00:01:11] 先各自介绍一下
[00:01:11 - 00:01:13] 我们是怎么进入这个领域的
[00:01:13 - 00:01:15] 一开始是什么样的一个动机
[00:01:15 - 00:01:17] 从我开始
[00:01:17 - 00:01:21] 其实我背景是
[00:01:21 - 00:01:23] 之前几年
[00:01:23 - 00:01:25] 我们一直都是在做
[00:01:25 - 00:01:26] 和疫情相关的研究
[00:01:26 - 00:01:28] 然后我是今年
[00:01:28 - 00:01:30] 博士毕业之后
[00:01:30 - 00:01:32] 其实现在是在从事
[00:01:32 - 00:01:34] 就是疫情相关的创业
[00:01:34 - 00:01:36] 就在我们这个公司Neo Cognition
[00:01:36 - 00:01:39] 然后就关于我们进入这个领域
[00:01:39 - 00:01:41] 其实就最早
[00:01:41 - 00:01:43] 就是从可能我博士开始
[00:01:43 - 00:01:45] 就是我最开始做的方向叫Semini Parsing
[00:01:45 - 00:01:47] Semini Parsing的
[00:01:47 - 00:01:49] 其实本质就在于
[00:01:49 - 00:01:51] 你怎么样把一个就是自然语言的这种
[00:01:51 - 00:01:52] instruction
[00:01:52 - 00:01:53] 或者自然语言的这种
[00:01:53 - 00:01:55] 就是任务描述
[00:01:55 - 00:01:58] 给它转化成
[00:01:58 - 00:02:00] 就是一个能在环境里面去执行的
[00:02:00 - 00:02:02] 一些更formal的表示
[00:02:02 - 00:02:04] 所以这种challenge
[00:02:04 - 00:02:06] 或者这种任务的性质
[00:02:06 - 00:02:07] 它本身和现代的Aging就很像
[00:02:07 - 00:02:08] 对吧
[00:02:08 - 00:02:09] 比如你现在的
[00:02:09 - 00:02:10] 这种computer user aging
[00:02:10 - 00:02:11] 本质上就是在于
[00:02:11 - 00:02:13] 你要给它一些指令
[00:02:13 - 00:02:15] 让它像人一样
[00:02:15 - 00:02:16] 在你的这种操作系统
[00:02:16 - 00:02:17] 在你的网页端
[00:02:17 - 00:02:18] 去完成这些任务
[00:02:18 - 00:02:20] 但我们在早期
[00:02:20 - 00:02:22] 我们用的更多的这种环境场景
[00:02:22 - 00:02:25] 可能是数据库跟这个KB
[00:02:25 - 00:02:27] 就是知识图谱或者知识库
[00:02:27 - 00:02:28] 因为在那个时候
[00:02:28 - 00:02:30] 你可能没有办法去
[00:02:30 - 00:02:32] 直接研究这种这么复杂
[00:02:32 - 00:02:33] 正式场景下的环境
[00:02:33 - 00:02:34] 所以那个时候
[00:02:34 - 00:02:35] 我们只能用一些
[00:02:35 - 00:02:36] 更简单的这种testbed
[00:02:36 - 00:02:38] 但从23年开始
[00:02:38 - 00:02:39] 就是当这个
[00:02:39 - 00:02:40] 就是拆机V2年年底
[00:02:40 - 00:02:42] 然后到23年
[00:02:42 - 00:02:43] 就是这个大爆发之后
[00:02:43 - 00:02:44] 模型能力有很大的增长
[00:02:44 - 00:02:46] 然后我们就发现
[00:02:46 - 00:02:47] OK
[00:02:47 - 00:02:48] 现在我们可以直接去
[00:02:48 - 00:02:50] 研究这些更有意思的环境
[00:02:50 - 00:02:50] 就没有必要
[00:02:50 - 00:02:51] 再去拿一些
[00:02:51 - 00:02:52] 比如说更简单的
[00:02:52 - 00:02:53] 像数据库或者
[00:02:53 - 00:02:55] 智库这种
[00:02:55 - 00:02:56] 就是testbed来
