[00:00:00--00:00:08] 那接下来我们把时间交给马晓彤博士,来给我们分享他们在这个方向上最新的观点。
[00:00:08--00:00:11] OK,晓彤你可以共享屏幕和分享。
[00:00:11--00:00:15] 感谢,我来share 一下我的slice。
[00:00:15--00:00:35] 然后非常开心今天可以来到咱们NAS做一个分享,
[00:00:35--00:00:39] 然后我觉得这个self-imlusion也是最近我们非常关注的一个topic,
[00:00:39--00:00:43] 然后今天我的主题是关于 experiential intelligence,
[00:00:43--00:00:46] 这个是我们一直以来想做的一些事情,
[00:00:46--00:00:50] 然后后面有一些high level想法,
[00:00:50--00:00:53] 也有一些我们在业界的一些实践,
[00:00:53--00:00:56] 然后我自己是macroAI的首席科学家,
[00:00:56--00:00:59] 然后我macroAI有一个research lab,
[00:00:59--00:01:00] 我们叫mine lab,
[00:01:00--00:01:02] 然后我是mine lab的负责人,
[00:01:02--00:01:05] 然后我的一些拜卦。
[00:01:05--00:01:08] 然后我们先从Cloud code讲起,
[00:01:08--00:01:13] 就是如果我们把时间线拉到去年年初的话,
[00:01:13--00:01:17] 我们会发现就是Cloud code的这个发布,
[00:01:17--00:01:21] 使得整个anthropic这个公司的无论是估值还是AR,
[00:01:21--00:01:25] 然后有一个指数的进步,
[00:01:25--00:01:31] 然后现在已经成为了世界上top2最大的两家AI公司,
[00:01:31--00:01:41] 然后当我们回顾就是Cloud code为什么会让这个anthropic变得这么强的时候,
[00:01:41--00:01:47] 我觉得从我们视角有一个很重要的一点就是Cloud code带来了很多真实的一些数据,
[00:01:47--00:01:58] 然后
[00:01:58--00:02:11] 然后Cloud code带来了很多真实的数据跟真实用户的使用的这样的一些query,
[00:02:11--00:02:18] 然后使得就是Cloud它可以向更偏进于真实用户提案的这个方向去迭代,
[00:02:18--00:02:23] 然后在此之前其实Cloud是用一个更research的方式去迭代它的模型的,
[00:02:23--00:02:30] 然后导致可能这个模型是并不能很好的fit大家的真实的生产场景,
[00:02:30--00:02:35] 然后但是有了Cloud code以后就完成了经验智能价值的一个闭环,
[00:02:35--00:02:42] 然后与之相对的两个philosophy,
[00:02:42--00:02:45] 一个是顺宇提出的second hub,
[00:02:45--00:02:51] 然后一个是Saturn老爷子提出来的year of experience,
[00:02:51--00:02:53] 然后其实他们都是在说一个事情,
[00:02:53--00:02:58] 就是说在未来agent应该更偏向于真实的世界里面的学习,
[00:02:58--00:03:00] 然后benchmark会变得非常的重要,
[00:03:00--00:03:03] 然后这也是我们去做mylab,
[00:03:03--00:03:06] 然后去做我们这家公司的主要的一些equeration,
[00:03:06--00:03:11] 然后我们是一家以RO loop来去组织的公司,
[00:03:11--00:03:15] 然后我们公司一般的人在做frontier的research,
[00:03:15--00:03:17] 然后一般的人在做一个产品,
[00:03:17--00:03:20] 然后我们从产品里面去抽象一些query,
[00:03:20--00:03:22] 让他回到我们的research里,
[00:03:22--00:03:25] 然后再把research里面的东西反馈到产品里,
[00:03:25--00:03:27] 然后不停的做跌,
[00:03:27--00:03:32] 然后这两天其实顺域也在腾讯的一些活动上面,
[00:03:32--00:03:34] 又重申了这样的一种观点,
[00:03:34--00:03:38] 然后我觉得可能在AI未来一段的发展里面是至关重要的,
[00:03:38--00:03:41] 我们把它叫做research product design,
[00:03:41--00:03:47] 然后research product design本身也是一个self evolution的这样一个大的循环,
[00:03:47--00:03:50] 然后如果我们从技术的视角,
[00:03:50--00:03:53] 我们会看到就是数据算法和模型,
[00:03:53--00:03:55] 然后如果我们从产品的视角,
[00:03:55--00:03:58] 他们可以被理解成用户产品和服务,
[00:03:58--00:04:01] 然后当我们有更多的用户的数据,
[00:04:01--00:04:04] 更好的一些这种交互的方式,
[00:04:04--00:04:07] 然后他们就可以把它沉淀成更多的智能,
[00:04:07--00:04:09] 然后当我们有了更多的智能,
[00:04:09--00:04:11] 我们也可以更好的服务用户,
