[00:00:02--00:00:04] 就在京都在鸭川边上
[00:00:04--00:00:06] 有一天没睡着觉
[00:00:06--00:00:08] 我就自己一个人跑到鸭川边
[00:00:08--00:00:09] 那里坐着
[00:00:09--00:00:10] 那里很美
[00:00:10--00:00:11] 对对对很美
[00:00:11--00:00:13] 我从夜里两点一直坐到凌晨五点
[00:00:13--00:00:15] 就拿了一罐啤酒在那坐着
[00:00:15--00:00:16] 那天做了很多
[00:00:16--00:00:17] 想了很多事情
[00:00:17--00:00:19] 做了一些很重要的决定
[00:00:19--00:00:23] 就我今天回过头去看这个东西的话
[00:00:23--00:00:25] 会有一个很深刻的感觉
[00:00:25--00:00:27] 就是互联网产品设计
[00:00:27--00:00:28] 和AI Native产品设计
[00:00:28--00:00:31] 真的是有一个很重要的范式变化
[00:00:31--00:00:36] 你在大厂属于很会往上爬的那种人吗
[00:00:36--00:00:50] Hello大家好
[00:00:50--00:00:51] 我是小俊
[00:00:51--00:00:52] 过去两年
[00:00:52--00:00:54] 张月光仿佛消失了
[00:00:54--00:00:57] 这位产品经理在2023年
[00:00:57--00:01:00] 创造过妙鸭这样的现象级的AI产品
[00:01:00--00:01:02] 但是在妙鸭走红后
[00:01:02--00:01:03] 仅三个月
[00:01:03--00:01:04] 他便从阿里巴巴辞职
[00:01:04--00:01:05] 他说
[00:01:05--00:01:08] 这源于他独自在日本京都的鸭川边
[00:01:08--00:01:09] 做了一夜
[00:01:09--00:01:12] 想清楚了许多重要的人生决定
[00:01:12--00:01:14] 2024年初
[00:01:14--00:01:15] 张月光惆怅
[00:01:15--00:01:17] 资金创立牧言之语
[00:01:17--00:01:19] 这家公司成为那年
[00:01:19--00:01:21] AI应用型公司里
[00:01:21--00:01:24] 融资额最高的初创公司之一
[00:01:24--00:01:25] 有人说
[00:01:25--00:01:27] 投资人在没有产品的情况下
[00:01:27--00:01:29] 对他忙住了四轮
[00:01:29--00:01:31] 累积金额近三亿元人民币
[00:01:31--00:01:33] 也有人开玩笑
[00:01:33--00:01:35] 说张月光是拿着融资额的利息
[00:01:35--00:01:36] 在养公司
[00:01:36--00:01:38] 过去两年
[00:01:38--00:01:40] 我和张月光见了很多次
[00:01:40--00:01:42] 他在尝试的产品形态
[00:01:42--00:01:43] 每一次都有一些变化
[00:01:43--00:01:45] 他也并不掩饰自己的困惑
[00:01:45--00:01:47] 坦言的确有一段时间
[00:01:47--00:01:48] 看不懂
[00:01:48--00:01:50] 转折来自于半年以前
[00:01:50--00:01:54] 一位失诚于互联网时代的产品经理
[00:01:54--00:01:55] 当他转向AI
[00:01:55--00:01:57] 会经历怎样的试错与求索
[00:01:57--00:02:00] 又要跨越哪些重要的认知鸿沟
[00:02:00--00:02:02] 让我无比意外的是
[00:02:02--00:02:03] 张月光说
[00:02:03--00:02:04] 他后来才意识到
[00:02:04--00:02:06] 尿压根本不是一个
[00:02:06--00:02:07] AI Native的产品
[00:02:07--00:02:09] 牧言之语
[00:02:09--00:02:11] 现阶段正在做的有两款主力产品
[00:02:11--00:02:13] 分别是AI运营游戏新年
[00:02:13--00:02:15] 和即将要推出的Agent产品
[00:02:15--00:02:17] 他说
[00:02:17--00:02:18] 他的探索期结束了
[00:02:18--00:02:20] 他终于找到那个
[00:02:20--00:02:22] 他愿意集公司之合力
[00:02:22--00:02:23] 下注的东西
[00:02:23--00:02:25] 那接下来
[00:02:25--00:02:27] 是我对张月光的访谈
[00:02:27--00:02:28] 期待2026年
[00:02:28--00:02:31] 我们和AI共同进步
[00:02:31--00:02:47] 哈喽 月光
[00:02:47--00:02:48] 先给听众朋友们打个招呼
[00:02:48--00:02:50] 并且做一个简单的自我介绍
[00:02:50--00:02:51] 好 大家好
[00:02:51--00:02:52] 我叫张月光
[00:02:52--00:02:55] 我从过去12年
[00:02:55--00:02:57] 一直在做产品经理相关的工作
[00:02:57--00:02:58] 先后在一些大厂
[00:02:58--00:03:00] 比如字节 阿里工作过
[00:03:00--00:03:02] 然后大家相对比较了解我的工作
[00:03:02--00:03:04] 可能是23年
[00:03:04--00:03:05] 我做了一款VR相机
[00:03:05--00:03:08] 后来我在24年初
[00:03:08--00:03:09] 开始出来创业
[00:03:09--00:03:10] 创办了一家公司
[00:03:10--00:03:11] 名字叫梦魇之语
[00:03:11--00:03:13] 然后过去两年
[00:03:13--00:03:15] 我们做了两个业务方向
[00:03:15--00:03:16] 一个业务方向
[00:03:16--00:03:18] 是在探索AI游戏这块
[00:03:18--00:03:20] 然后另外一个业务方向
[00:03:20--00:03:22] 是在探索一些AI应用的机会
[00:03:22--00:03:24] 然后中间也尝试过一些产品
[00:03:24--00:03:26] 最近也是刚刚确定了
[00:03:26--00:03:28] 自己的核心产品
[00:03:28--00:03:30] 在欧运一个新的Agent的生产力
[00:03:30--00:03:31] 一阵子的方向
[00:03:31--00:03:33] 能不能讲讲你过去的那些工作经历
[00:03:33--00:03:36] 我基本上算是赶上了
[00:03:36--00:03:38] 移动互联网的黄金时代
[00:03:38--00:03:39] 所以刚毕业的时候
[00:03:39--00:03:41] 最开始就是植物宝无限
[00:03:41--00:03:42] 欧运无限的时期
[00:03:42--00:03:44] 后来也是比较早期的在字节
[00:03:44--00:03:46] 中间自己进行过一次创业
[00:03:46--00:03:48] 后来这个创业结束了之后
[00:03:48--00:03:49] 又回到了二进宫
[00:03:49--00:03:49] 回到阿里
[00:03:49--00:03:51] 待到23年底
[00:03:51--00:03:53] 可能大家相对比较了解我的
[00:03:53--00:03:54] 做了VR相机这样一个产品
[00:03:54--00:03:55] 在那结束之后
[00:03:55--00:03:56] 就出来创办了现在的梦魇之语
[00:03:56--00:03:59] 你做产品经理做了多少年
[00:03:59--00:04:00] 十几年
[00:04:00--00:04:00] 对
[00:04:00--00:04:01] 至少十年
[00:04:01--00:04:05] 至少十年的互联网时代的产品经历
[00:04:05--00:04:05] 对
[00:04:05--00:04:07] 中间创业那段经历
[00:04:07--00:04:07] 你们分享一下
[00:04:07--00:04:09] 中间创业的话
[00:04:09--00:04:11] 我是18年中旬离开的字节
[00:04:11--00:04:13] 当时创业一开始
[00:04:13--00:04:14] 离开的时候
[00:04:14--00:04:16] 是想要去做短视频电商
[00:04:16--00:04:17] 因为我在18年的时候
[00:04:17--00:04:19] 就觉得短视频
[00:04:19--00:04:19] 它其实
[00:04:19--00:04:21] 那个时候大家更多
[00:04:21--00:04:22] 还把它看作一个内容平台来看
[00:04:22--00:04:24] 但当时我就觉得
[00:04:24--00:04:26] 短视频其实是一种信息媒介的升级
[00:04:26--00:04:27] 从文字到图片
[00:04:27--00:04:28] 再到短视频
[00:04:28--00:04:29] 这是人类经历过的
[00:04:29--00:04:30] 三代
[00:04:30--00:04:31] 主流的信息媒介的迭代
[00:04:31--00:04:33] 如果是一个信息媒介迭代
[00:04:33--00:04:35] 它就不会只用来做内容
[00:04:35--00:04:35] 做娱乐
[00:04:35--00:04:37] 比如教育
[00:04:37--00:04:37] 电商
[00:04:37--00:04:38] 所有的这些东西
[00:04:38--00:04:39] 都会短视频化
[00:04:39--00:04:40] 直播化
[00:04:40--00:04:41] 这当时我的一个比较大的判断
[00:04:41--00:04:44] 所以就觉得这个事很大
[00:04:44--00:04:45] 所以就出来自己创业了
[00:04:45--00:04:47] 当然因为第一次创业
[00:04:47--00:04:49] 所以很宏观的判断
[00:04:49--00:04:49] 没什么问题
[00:04:49--00:04:51] 但是在切入的时候
[00:04:51--00:04:53] 我觉得切入的方式不好
[00:04:53--00:04:53] 当时我想
[00:04:53--00:04:55] 我再造一个卖货的抖音出来
[00:04:55--00:04:57] 所以就其实
[00:04:57--00:04:58] 今天回过头去看
[00:04:58--00:05:00] 其实更正确的一个做法
[00:05:00--00:05:01] 是去做内容
[00:05:01--00:05:03] 因为用短视频卖货这件事
[00:05:03--00:05:05] 是非常在短视频
[00:05:05--00:05:06] 应该自身的延长线上
[00:05:06--00:05:07] 这个事我们做了一年
[00:05:07--00:05:09] 后来发现有一些问题
[00:05:09--00:05:11] 就开始去找一些
