[00:00:05--00:00:07] Hello大家好,我是小骏
[00:00:07--00:00:11] 今天给大家带来的是全球大模型季报的第九集
[00:00:11--00:00:14] 这一集的情绪十分的复杂
[00:00:14--00:00:18] 一方面你会看到正在急速进化的AI革命
[00:00:18--00:00:22] Coding把AI从聊天机器人Charbot的第一幕
[00:00:22--00:00:25] 推向了能够干活的Agent第二幕
[00:00:25--00:00:29] 研究员们已经开始不再亲自写代码了
[00:00:29--00:00:31] 广密带来的核心判断是
[00:00:31--00:00:33] Coding是新的AI加速器
[00:00:33--00:00:35] 正在加速AGI的实现
[00:00:35--00:00:38] 领先的Coding模型就会像领先的GPU
[00:00:38--00:00:40] 那另一方面
[00:00:40--00:00:44] 社会层面随之进入了白领通缩与失业的窗口期
[00:00:44--00:00:48] 整个社会准备好了应对这么急速变化的AI革命了吗
[00:00:48--00:00:52] 2026年,期待我们和AI共同进步
[00:00:52--00:01:01] 你相不相信Code可以表达数字世界的绝大多数任务
[00:01:01--00:01:04] 因为自然语言是对世界的描述
[00:01:04--00:01:06] Code是对Solution的描述
[00:01:07--00:01:09] 就是语言及世界
[00:01:09--00:01:10] 代码及方案
[00:01:10--00:01:16] 如果领先的模型公司不重视Coding
[00:01:16--00:01:18] 它大概会掉出第一梯队的
[00:01:18--00:01:23] 对,我觉得硅谷预算家过去三年
[00:01:23--00:01:25] 有时候你觉得OpenAI无敌
[00:01:25--00:01:29] 三四个月前又觉得Gemini王者归来
[00:01:29--00:01:31] 今天是AnswerPick春风得意
[00:01:31--00:01:34] 我是感觉每个公司都有自己的窗口吧
[00:01:34--00:01:35] 各领风骚一百天
[00:01:35--00:01:41] 今天胜利的秘籍可能就是下个时代的毒药对吧
[00:01:41--00:01:43] OpenAI在拆的GTT过于成功
[00:01:44--00:01:47] 不让他们专注2C而忽视了Coding
[00:01:47--00:02:04] 那今天这里是全球大模型季报的第九集
[00:02:04--00:02:04] 过去三年呢
[00:02:04--00:02:07] 我和广秘一直在用季报的形式
[00:02:07--00:02:11] 记录着大模型的技术进步和趋势走向
[00:02:11--00:02:13] 从2023年到2026年
[00:02:13--00:02:15] 一直追踪我们的听众会发现
[00:02:15--00:02:18] 很多季报里的内容都慢慢变成了现实
[00:02:18--00:02:21] 那最近感受最深的就是我们去年季报里
[00:02:21--00:02:23] 一直在说的Coding Coding Coding
[00:02:23--00:02:25] 今年就像海啸一般涌来了
[00:02:25--00:02:27] 感觉有点猝不及防
[00:02:27--00:02:30] 那站在2026年第一季度
[00:02:30--00:02:32] 广秘你有哪些突出的感受
[00:02:32--00:02:36] 能不能先带领我们感受一下本集季报的概览内容
[00:02:36--00:02:39] 过去一个季度变化实在太快了
[00:02:39--00:02:43] 那个希望我们季报传递一些最新的洞察和思考吧
[00:02:43--00:02:48] 帮大家更好的理解也也提前应对好AI海啸的冲击
[00:02:48--00:02:50] 今天主要聊几个方向吧
[00:02:50--00:02:55] 一个是给大家传递一些在硅谷的一些体感和观察
[00:02:55--00:03:02] 第二部分是分享一些对Coding这个变化最新的一些理解和认识
[00:03:02--00:03:05] 为什么Coding是今天的主线人物
[00:03:05--00:03:10] 第三也讲一讲硅谷叫核心域三家模型的这个一些观察
[00:03:10--00:03:13] 尤其是战略组织和文化
[00:03:13--00:03:18] 然后也可以讨论讨论未来模型的终极形态会是什么
[00:03:18--00:03:20] 为什么是操作系统
[00:03:20--00:03:24] 后面也可以聊一下就是对社会的潜在影响吧
[00:03:24--00:03:25] 那个失业啊
[00:03:25--00:03:27] 通缩和投资这几个方向
[00:03:27--00:03:32] 去年我其实还有点担心大模型的技术进步曲线会就此放缓了
[00:03:32--00:03:34] 会不会二零二六年有点无聊
[00:03:34--00:03:38] 但是刚刚过去的第一季度的感受是完全相反的
[00:03:38--00:03:41] 很多人都会反馈感觉有点跟不上了
[00:03:41--00:03:47] 那你觉得过去一季度哪些事情是最值得给听众朋友们画重点的
[00:03:47--00:03:49] 我觉得就一件事吧
[00:03:49--00:03:54] 过去一个季度最本质最关键的一个转折点就是
