[00:00:06--00:00:07] 在现在来说的话
[00:00:07--00:00:08] 十年的尺度上
[00:00:08--00:00:09] 我们其实是觉得
[00:00:09--00:00:11] 巨变可能是在物理学
[00:00:11--00:00:13] 对于人类整个文明来说的话
[00:00:13--00:00:15] 它影响最大的一件事
[00:00:15--00:00:20] 它也是全世界
[00:00:20--00:00:22] 其实从国际联合项目上来说的话
[00:00:22--00:00:24] 应该是第二贵的项目了
[00:00:24--00:00:25] 第一贵是什么
[00:00:25--00:00:26] 空间站 国际空间站
[00:00:26--00:00:30] 甚至这件事做成之后的话
[00:00:30--00:00:32] 通过驯服巨变能
[00:00:32--00:00:35] 把它去用来去做这种无工制的
[00:00:35--00:00:37] 太空旅行的这种推进机 发动机
[00:00:37--00:00:42] 已经不顺了
[00:00:42--00:00:44] 中间有非常多的
[00:00:44--00:00:44] 就是你每一个环节
[00:00:44--00:00:45] 都在不断地出问题
[00:00:45--00:00:47] 而且你越接近实物状态
[00:00:47--00:00:50] 你的问题越大 问题越多
[00:00:50--00:00:53] 如果这个山没有蹲上去摔下来
[00:00:53--00:00:54] 你会怎么想
[00:00:54--00:00:56] 非常可惜
[00:00:56--00:01:04] Hello 大家好
[00:01:04--00:01:06] 欢迎收听张小俊商业访谈录
[00:01:06--00:01:07] 我是小俊
[00:01:07--00:01:09] 这是一档提供一手
[00:01:09--00:01:11] 高密度信息的商业访谈节目
[00:01:11--00:01:13] 2021年
[00:01:13--00:01:14] Sam Altman以个人名义
[00:01:14--00:01:16] 向美国核聚变的初创公司
[00:01:16--00:01:17] Heli Energy
[00:01:17--00:01:20] 注资了3.75亿美金
[00:01:20--00:01:21] 这是他迄今
[00:01:21--00:01:23] 最大的一笔个人下注
[00:01:23--00:01:24] Heli豪言称
[00:01:24--00:01:26] 将在2028年前
[00:01:26--00:01:29] 建成全球首座50兆瓦的聚变电厂
[00:01:29--00:01:31] 马斯克则持不同的看法
[00:01:31--00:01:32] 他曾说
[00:01:32--00:01:33] 我们的头顶上
[00:01:33--00:01:35] 一直有一个取之不尽
[00:01:35--00:01:36] 用之不竭的核聚变反应堆
[00:01:36--00:01:37] 太阳
[00:01:37--00:01:39] 他相信太阳能才是
[00:01:39--00:01:41] 人类能源问题的根本路径
[00:01:41--00:01:43] 不过在许多人的眼中
[00:01:43--00:01:46] 可控核聚变仍然是能源界的圣杯
[00:01:46--00:01:49] 随着今天我们向AGI迈进
[00:01:49--00:01:51] 能源将是文明演进的
[00:01:51--00:01:52] 最大瓶颈
[00:01:52--00:01:54] 毕竟AGI或许不惧怕人类
