page	asset	title	status	reason
1	slides-images/slide-01.jpg	Recipes for Training Helpful Chatbots	include	Official title and lecture thesis.
2	slides-images/slide-02.jpg	Introduction: H4 team and recipe	include	Defines the project scope and ingredients.
3	slides-images/slide-03.jpg	Outline	include	Establishes the teaching sequence.
4	slides-images/slide-04.jpg	Training a Chatbot: helpfulness	include	Introduces the SFT branch of the pipeline.
5	slides-images/slide-05.jpg	Training a Chatbot: harmlessness	include	Adds preference modeling and RLHF.
6	slides-images/slide-06.jpg	Dataset	omit	Pure section divider with no teaching content.
7	slides-images/slide-07.jpg	Dataset for Helpfulness: instance/completion	include	Defines the supervised example unit.
8	slides-images/slide-08.jpg	Dataset for Helpfulness: synthetic-to-human continuum	include	Maps the data-source design space.
9	slides-images/slide-09.jpg	Bootstrapping Data (Self-Instruct)	include	Shows seed-and-filter synthetic generation.
10	slides-images/slide-10.jpg	Human-in-the-loop (UltraChat)	include	Shows human-guided synthetic dialogue generation.
11	slides-images/slide-11.jpg	Roleplaying (CAMEL)	include	Shows two-agent role-play generation.
12	slides-images/slide-12.jpg	Dataset for Helpfulness: updated continuum	include	Adds the 2023 data landscape seen in class.
13	slides-images/slide-13.jpg	Datasets for SFT for Helpfulness	include	Highlights the H4 collection position.
14	slides-images/slide-14.jpg	Past Findings from SFT Datasets	include	Motivates diminishing-return experiments.
15	slides-images/slide-15.jpg	SFT Dataset Desiderata	include	Defines the controlled design variables.
16	slides-images/slide-16.jpg	Task Distribution: InstructGPT	include	Provides a baseline task mixture.
17	slides-images/slide-17.jpg	Task Distribution: chosen mix	include	Shows the H4 allocation decision.
18	slides-images/slide-18.jpg	Length Distribution: prior datasets	include	Compares prompt and response lengths.
19	slides-images/slide-19.jpg	Length Distribution: selected constraints	include	Highlights the collection target.
20	slides-images/slide-20.jpg	Surge Instruct Dataset: task mix	include	Documents the 10K demonstration composition.
21	slides-images/slide-21.jpg	Surge Instruct Dataset: examples	include	Shows task-specific prompt/response behavior.
22	slides-images/slide-22.jpg	Surge Instruct Dataset: annotator population	include	Documents collection-population context.
23	slides-images/slide-23.jpg	Human Preference Data	include	Contrasts helpfulness and harmlessness interfaces.
24	slides-images/slide-24.jpg	Human Preference Dataset Desiderata	include	Lists preference-collection design variables.
25	slides-images/slide-25.jpg	Pilot Study	include	Shows the 300-prompt vendor pilot.
26	slides-images/slide-26.jpg	Human Preference Data: task matrices	include	Visualizes pilot distribution diagnostics.
27	slides-images/slide-27.jpg	Human Preference Dataset: task allocation	include	Specifies 20K dialogues and 80K prompts.
28	slides-images/slide-28.jpg	Human Preference Dataset: length and rating policy	include	Specifies context, turns, values, and scale.
29	slides-images/slide-29.jpg	Examples of Human Preference Data	include	Shows chosen/rejected multi-turn examples.
30	slides-images/slide-30.jpg	Recipe 2: Distillation of AI Alignment	include	Marks the synthetic-alignment alternative.
31	slides-images/slide-31.jpg	Zephyr-7B pipeline	include	Shows dSFT, AI feedback, and dDPO stages.
32	slides-images/slide-32.jpg	Experiments and Evaluation	omit	Pure section divider with no teaching content.
33	slides-images/slide-33.jpg	Large Language Models: Training	include	Places SFT and RLHF in the adaptation stack.
34	slides-images/slide-34.jpg	Evaluating a Chatbot: SFT and preference stages	include	Maps training stages to evaluation targets.
35	slides-images/slide-35.jpg	Large Language Models: Training with chatbot emphasis	include	Highlights the chatbot-specific training branch.
36	slides-images/slide-36.jpg	Evaluating a Chatbot: helpfulness versus harmlessness	include	Separates capability and safety questions.
37	slides-images/slide-37.jpg	Evaluating instruction following, reward models, and red teaming	include	Defines three evaluation layers.
38	slides-images/slide-38.jpg	Evaluating instruction following	include	Defines open-ended helpfulness assessment.
39	slides-images/slide-39.jpg	Hugging Face human Elo leaderboard	include	Shows human pairwise aggregation.
40	slides-images/slide-40.jpg	AlpacaEval leaderboard	include	Shows automated pairwise evaluation.
41	slides-images/slide-41.jpg	LMSYS Elo leaderboard	include	Shows crowdsourced arena evaluation.
42	slides-images/slide-42.jpg	MT-Bench	include	Shows LLM-judge multi-turn scoring.
