page	status	title	rationale
001	required	Behind the Scenes of LLM Pretraining	canonical title and speaker/source boundary
002	required	Today's plan	independent question-driven lecture structure
003	required	No moat memo	independent open-model context
004	required	GPT-4 performance on your device	independent deployment implication of open weights
005	required	The rise of open models: releases	independent company-release evidence
006	required	The rise of open models: Arena gap	independent May 2024 performance trend
007	required	Limitations of opaque releases	independent transparency/legal/competition framing
008	optional	What do we need to train good LLMs?	pure question divider
009	optional	Model/GPU/data progressive build 1	intermediate animation state
010	optional	Model/GPU/data progressive build 2	intermediate animation state
011	required	Model, GPUs, and data	final complete build and central thesis
012	optional	How to get good data?	pure section divider
013	required	Training-data questions	independent amount/source/filter taxonomy
014	required	How much data? Scaling laws	independent compute-allocation question
015	required	Kaplan and Chinchilla scaling laws	independent comparison and numeric examples
016	required	Chinchilla curves	independent empirical optimum plot
017	required	Scaling with compute, data, and model size	independent three-axis scaling evidence
018	required	Scaling-law timeline	independent Chinchilla-to-overtraining history
019	required	From GPT-1 to GPT-4	independent scale/cost trend
020	required	Inference gets more expensive	independent deployment cost trend
021	required	Compute-optimal is not deployment-optimal	independent overtraining rationale
022	required	Harm's law	independent training-past-Chinchilla cost curve
023	required	Scaling laws: further reading	independent domain/data-quality caveats
024	optional	How much data answered	administrative completion marker
025	optional	Where to find data?	pure question divider
026	required	LLM training-data sources	independent web/code/curated/synthetic taxonomy
027	required	Web data and Common Crawl	independent source and filtering-scale discussion
028	optional	FineWeb title card	branding-only transition
029	required	FineWeb filtering result	independent early-training ablation curves
030	required	Code data and The Stack	independent code-data pipeline overview
031	required	The Stack v1 collection and opt-out	independent governance/data flow
032	required	The Stack v2 pipeline	independent Software Heritage and auxiliary-data flow
033	required	The Stack v1 versus v2	independent scale/language/token comparison
034	required	Synthetic data: Textbooks Are All You Need	independent synthetic-pretraining catalyst
035	required	Cosmopedia at scale	independent open synthetic-data construction
036	required	Cosmopedia composition	independent category/source distribution
037	optional	Where to find data answered	administrative completion marker
038	optional	How to filter the data?	pure question divider
039	required	Data quality claims and references	independent motivation for filtering
040	required	General data-cleaning pipeline	independent multi-stage process diagram
041	optional	FineWeb filtering result duplicate	exact teaching duplicate of slide 29
042	required	How to find filtering techniques	independent manual-inspection/ablation protocol
043	required	FineWeb's 200+ ablations	independent experiment-scale evidence
044	required	The Stack v1 reduction	independent raw-to-training-data scale
045	required	The Stack v2 reduction	independent raw-to-training-data scale
046	required	Language selection and quality inspection	independent per-language threshold process
047	required	Near-deduplication results	independent MinHash/LSH performance evidence
048	required	PII removal and decontamination	independent privacy/evaluation safeguards
049	required	Code-file formatting	independent repository/file metadata tokens
050	required	Commit and notebook formatting	independent structured auxiliary-data examples
051	required	StarCoder2 training-data table	independent mixture composition
052	required	Filtering and training tooling	independent reproducibility framework map
053	optional	Filtering answered	administrative completion marker
054	optional	More about LLMs for code	pure section divider
055	required	GitHub Copilot in 2021	independent historical baseline
056	required	Over 1.7K open code models	independent ecosystem growth snapshot
057	required	Strong instruction-tuned and base models	independent leaderboard snapshot
058	required	Landscape of open code LLMs	independent provider/model-family taxonomy
059	required	BigCode open-scientific collaboration	independent collaboration principles
060	required	BigCode ecosystem	independent data/model downstream graph
061	required	Open and responsible LLM research	independent release checklist
062	required	SantaCoder to StarCoder2	independent project evolution and data percentages
063	required	Foundation Model Transparency Index	independent external transparency evidence
064	required	Evaluation leaderboard	independent multi-benchmark comparison
065	required	StarCoder2 benchmark breakdown	independent task-by-task scale comparison
066	required	Autocomplete tooling and membership test	independent deployment/attribution tools
067	required	Custom code-model fine-tuning	independent personal-Copilot workflow
068	required	Code leaderboards	independent public evaluation interface
069	required	Potential HumanEval overfitting	independent contamination evidence
070	required	LiveCodeBench	independent time-split contamination-resistant evaluation
071	optional	Thank you	closing slide without independent teaching content
