[00:00:01--00:00:03] 为什么你做这件事情比大部分人都早
[00:00:03--00:00:04] 你觉得是为什么
[00:00:04--00:00:05] 我觉得有幸运的部分
[00:00:05--00:00:08] 就是说我学习做第一个事情
[00:00:08--00:00:11] 其实就是基于语言模型去做agent
[00:00:11--00:00:14] 你只有有个different bet
[00:00:14--00:00:18] 你才能够超越之前的霸主
[00:00:18--00:00:20] 就是说我觉得如果OpenAI一直做强化学习
[00:00:20--00:00:23] 那可能也很难超过deep mind
[00:00:23--00:00:26] 我导师他是GBT-1的第二个作者
[00:00:26--00:00:29] 他当时对这个事情就有点怀疑
[00:00:29--00:00:32] 很有意思的一点是说
[00:00:32--00:00:35] 传统上大家认为发生的事情是
[00:00:35--00:00:37] 比如我大厂先做出来一个东西
[00:00:37--00:00:40] 然后创业公司就可以开始抄
[00:00:40--00:00:41] 比如说我做出来拆GBT
[00:00:41--00:00:43] 那我可以去抄拆GBT
[00:00:43--00:00:44] 或者去做一个类似的事情
[00:00:44--00:00:46] 但现在来看
[00:00:46--00:00:49] 似乎反过来事情也是可以成立的
[00:00:49--00:00:53] 如果你成为了博客线的CEO
[00:00:53--00:00:55] 未来要拿出500亿美金
[00:00:55--00:00:59] allocate到AGA这个行业
[00:00:59--00:01:01] 你会怎么去allocate这笔钱
[00:01:01--00:01:02] 既能体现
[00:01:02--00:01:05] 回报也能体现对人类的贡献
[00:01:05--00:01:11] 就是败套有different super app的产品形态
[00:01:11--00:01:12] 有不同的交互方式
[00:01:12--00:01:14] 如果你不相信这一点的话
[00:01:14--00:01:16] 那这个世界就变得很灰暗
[00:01:16--00:01:20] 就是那只有OpenAI或Rantropic有机会
[00:01:20--00:01:21] 但是如果你相信这一点的话
[00:01:21--00:01:23] 就会有很多新的机会
[00:01:23--00:01:32] Hello大家好
[00:01:32--00:01:35] 欢迎收听张小骏商业访谈录
[00:01:35--00:01:36] 我是小骏
[00:01:36--00:01:40] 这是一档由语言及世界工作室出品的深度访谈节目
[00:01:40--00:01:41] 我们希望和你一起
[00:01:41--00:01:43] 从这里探索新世界的产品
[00:01:43--00:01:44] 解解
[00:01:44--00:01:45] 今天的嘉宾
[00:01:45--00:01:49] 我们很开心邀请了OpenAI的研究员姚顺宇
[00:01:49--00:01:50] 2025年4月
[00:01:50--00:01:52] 姚顺宇发布了一篇很有名的博文
[00:01:52--00:01:54] The Second Half
[00:01:54--00:01:57] 宣告AI主线程的游戏已经进入了下半场
[00:01:57--00:02:00] 这之后我们与他进行了一场博客对谈
[00:02:00--00:02:03] 姚顺宇毕业于清华和普林斯顿大学
[00:02:03--00:02:05] 开始智能体的研究非常的早
[00:02:05--00:02:06] 在博士期间
[00:02:06--00:02:10] 他意识到了语言可能是人类发明的最接近本质的工具
[00:02:10--00:02:13] 于是转向了语言智能体的研究
[00:02:13--00:02:13] 至今
[00:02:13--00:02:14] 已经六年
[00:02:14--00:02:16] 他有许多有代表性的工作
[00:02:16--00:02:19] 我们的谈话从个体出发
[00:02:19--00:02:20] 共同探索由人
[00:02:20--00:02:21] 组织
[00:02:21--00:02:22] AI
[00:02:22--00:02:24] 人与机器的交互
[00:02:24--00:02:27] 所抵达的这个世界智能的边界
[00:02:27--00:02:29] 以及人类与机器的全景
[00:02:29--00:02:30] 前不久
[00:02:30--00:02:32] 我刚刚创立了一家新的内容工作室
[00:02:32--00:02:34] 语言及世界工作室
[00:02:34--00:02:37] 顺宇很意外的从另外一个角度帮我回答了
[00:02:37--00:02:39] 我们工作室创立的初心
[00:02:39--00:02:43] 为什么我们相信语言是这个世界的本质奥秘
[00:02:43--00:02:43] 语言是这个世界的本质奥秘
[00:02:43--00:02:45] 它的表达是
[00:02:45--00:02:49] 语言是人为了实现放话而发明出来的工具
[00:02:49--00:02:52] 这一点比其他东西更本质
[00:02:52--00:03:00] 哈喽 顺宇
[00:03:00--00:03:02] 先给听众朋友们打个招呼
[00:03:02--00:03:03] 大家好
[00:03:03--00:03:04] 我叫姚顺宇
[00:03:04--00:03:06] 然后现在在OpenAI做research
[00:03:06--00:03:09] 今天我们嘉宾是OpenAI的研究员姚顺宇
[00:03:09--00:03:10] 他的研究方向是agent
[00:03:10--00:03:13] 最近刚刚写了一篇非常有名的博文
[00:03:13--00:03:13] The Second Half
[00:03:13--00:03:16] 告诉大家AI的游戏已经进入了下半场
[00:03:16--00:03:17] 那这次节目
[00:03:17--00:03:19] 我们第一次也尝试有两位主持人
[00:03:19--00:03:20] 除了我
[00:03:20--00:03:20] 还有大家
[00:03:20--00:03:21] 也很舒服
[00:03:21--00:03:21] 主席的广秘
[00:03:21--00:03:23] 广秘你也来给大家打个招呼吧
[00:03:23--00:03:24] 大家好
[00:03:24--00:03:26] 我是广秘
[00:03:26--00:03:27] 顺宇我看了你的很多资料
[00:03:27--00:03:29] 和你自己写的文字
[00:03:29--00:03:30] 我从你的文章语言里
[00:03:30--00:03:32] 整体能读到一种反叛精神
[00:03:32--00:03:33] 所以我对你这个人很感兴趣
[00:03:33--00:03:36] 你能不能先给大家做一个自我介绍
[00:03:36--00:03:38] 就是聊聊你的过往的经历
[00:03:38--00:03:40] 你说反叛精神
[00:03:40--00:03:41] 对啊
[00:03:42--00:03:43] 这很有意思
[00:03:43--00:03:44] 因为我感觉我
[00:03:44--00:03:46] 我是个非常乖的学生
[00:03:46--00:03:48] 我感觉从小到大
[00:03:48--00:03:50] 就是按部就班的
[00:03:50--00:03:51] 这个
[00:03:51--00:03:51] 这个
[00:03:51--00:03:52] ,学习
[00:03:52--00:03:54] 就是我本科
[00:03:54--00:03:57] 从从合肥考到清华
[00:03:57--00:03:57] 然后读摇班
[00:03:57--00:03:59] 然后在摇班
[00:03:59--00:04:01] 大家都都会告诉你
[00:04:01--00:04:03] 就是去去美国读PhD
[00:04:03--00:04:05] 然后我就去美国读PhD
[00:04:05--00:04:06] 然后我在普林斯顿读PhD
[00:04:06--00:04:10] 然后读过PhD之后
[00:04:10--00:04:11] 感觉很自然的
[00:04:11--00:04:14] 就是OpenAI是做research最好的地方
[00:04:14--00:04:16] 然后就加入了OpenAI
[00:04:16--00:04:17] 感觉就是
[00:04:17--00:04:19] 我这个前28年的人生
[00:04:19--00:04:20] 非常的
[00:04:20--00:04:21] 非常的
[00:04:21--00:04:22] 非常的
[00:04:22--00:04:23] 这个乖
[00:04:23--00:04:24] 对
[00:04:24--00:04:26] 你是15到19在清华摇班
[00:04:26--00:04:27] 19到24在普林斯顿
[00:04:27--00:04:29] 24年毕业季的OpenAI
[00:04:29--00:04:29] 对吧
[00:04:29--00:04:31] 你之前学的应该不是AI
[00:04:31--00:04:32] 就是在本科的时候
[00:04:32--00:04:33] 你是怎么进入AI领域
[00:04:33--00:04:36] 然后继而又进入了Agent这个领域的
[00:04:36--00:04:36] 对
[00:04:36--00:04:43] 就是摇班的传统是偏理论计算机科学
[00:04:43--00:04:45] 但是
[00:04:45--00:04:46] 可能我还是有反叛精神的嘛
[00:04:46--00:04:48] 我当时觉得
[00:04:48--00:04:49] 重要的问题可能已经被解决了
[00:04:49--00:04:50] 就是如果
[00:04:50--00:04:52] 你去把一个
[00:04:52--00:04:57] 比如图算法的复杂度从N的2.834房
[00:04:57--00:04:59] 降到N的2.824房
[00:04:59--00:05:03] 这个事情已经对实际没有什么意义了
[00:05:03--00:05:06] 然后我是16年的时候
[00:05:06--00:05:10] 在李健老师的一门课上面看到了一个
[00:05:11--00:05:14] Multimodal work to get back的一个demo
[00:05:14--00:05:16] 就是说当时有一个
[00:05:16--00:05:19] 就比如说你可以有一个work to get back
[00:05:19--00:05:20] 有一个非常惊艳的example就是说
[00:05:20--00:05:22] 一个国王的embedding
[00:05:22--00:05:24] 减去一个man的embedding
[00:05:24--00:05:26] 再加上一个queen的embedding
[00:05:26--00:05:28] 可以等于一个比如woman的embedding
[00:05:28--00:05:29] 就这个事情我当时觉得非常神奇
[00:05:29--00:05:32] 然后这个事情可以做成比如一个图片
[00:05:32--00:05:35] 一个比如说一个国王图片的embedding
[00:05:35--00:05:36] 减去man的embedding
[00:05:36--00:05:37] 再加上queen的embedding
[00:05:37--00:05:40] 就是他能做做的非常的
[00:05:40--00:05:42] 我当时觉得非常惊艳
[00:05:42--00:05:42] 对
[00:05:42--00:05:43] 然后
[00:05:43--00:05:50] 但是当时其实清华或者起码摇班没有什么做deep learning的老师或者资源
[00:05:50--00:05:50] 然后
[00:05:50--00:05:52] 2018年的时候
[00:05:52--00:05:57] 摇班有一个传统就是每个人都要去海外做一学期的research
[00:05:57--00:05:59] 然后我去FIT
[00:05:59--00:06:01] 然后跟着是吴嘉俊学长
[00:06:01--00:06:05] 然后从那里才真正开始系统性的做deep learning
[00:06:05--00:06:06] 对
[00:06:06--00:06:11] 然后当时我做的其实更多是computer vision
[00:06:11--00:06:19] 但是我当时觉得好像vision你很难实现一个general的AI
[00:06:19--00:06:20] 然后
[00:06:20--00:06:25] intuition就是说感觉language是更重要或者更central的一个东西
[00:06:25--00:06:30] 然后后来进了PhD之后就开始做language
[00:06:30--00:06:31] 对
[00:06:31--00:06:32] 那怎么进入agent
[00:06:32--00:06:37] 对这个事情其实我觉得也是有些基本巧合
[00:06:37--00:06:37] 对
[00:06:37--00:06:41] 就是我的导师他之前有一些research
[00:06:41--00:06:49] 就是说我怎么能在一个简单的语言游戏里面去做一个agent
[00:06:49--00:06:49] 对
[00:06:49--00:06:50] 这个可能是一个很简单的语言游戏里面去做一个agent
[00:06:50--00:06:52] 可能是16年17年的时候的工作
[00:06:52--00:06:56] 就是说你用一个非常简陋的RN
[00:06:56--00:06:59] 然后在一个非常小的文字游戏里面
[00:06:59--00:07:01] 你可以做一些这种动态的interaction
[00:07:01--00:07:03] 比如说你学着学就知道
[00:07:03--00:07:06] 比如过桥之后就可以比如说去河的对岸
[00:07:06--00:07:08] 就类似于这样非常简单的事情
[00:07:08--00:07:10] 我进入Grad school之后
[00:07:10--00:07:13] 其实我是被computer vision录取的
[00:07:13--00:07:15] 但是我当时已经不想做computer vision了
[00:07:15--00:07:18] 然后我就去找做language的人聊天
[00:07:18--00:07:20] 然后我就遇到我现在的导师Carthic
[00:07:20--00:07:23] 然后我们就在bringstomp有什么idea
[00:07:23--00:07:26] 然后我就说现在这个语言模型对吧
[00:07:26--00:07:29] gbt2已经变得比你们当时要强很多了
[00:07:29--00:07:32] 他现在玩游戏是不是也会变得更强
[00:07:32--00:07:35] 然后他说maybe that's a good idea
[00:07:35--00:07:36] 然后我们就开始做这个事情了
[00:07:36--00:07:41] 然后从那开始就已经一直在做agent
[00:07:41--00:07:44] 做了已经有6年了
[00:07:44--00:07:45] 对
[00:07:45--00:07:48] 你觉得agent或者说language最吸引的是什么
[00:07:48--00:07:50] 我觉得是它的generality
[00:07:50--00:07:50] 我觉得是它的generality
[00:07:50--00:07:50] 我觉得是它的generality
[00:07:50--00:07:51] 对
[00:07:51--00:07:54] 任何事情你都可以用语言去表示
[00:07:54--00:07:56] 或者说绝大多数事情你可以用语言去表示
[00:07:56--00:07:59] 我觉得很吸引我的一点
[00:07:59--00:08:04] 就是说我当时我觉得隐隐约约有intuition
[00:08:04--00:08:07] 就是说你最终比如你要实现一个AGI
[00:08:07--00:08:10] 当然当时大家没有人提AGI
[00:08:10--00:08:13] 但如果你要去实现一个非常general system
[00:08:13--00:08:16] 你需要去build一个agent
[00:08:16--00:08:20] 当时我觉得如果回看AI的
[00:08:20--00:08:21] 历史的话
[00:08:21--00:08:23] 从很久很久以前
[00:08:23--00:08:28] 从就是Noel和Simon他们1960年代开始
[00:08:28--00:08:31] 其实大家一开始的想法就是想去做一个agent
[00:08:31--00:08:34] 当时大家的野心非常ambitious
[00:08:34--00:08:34] 对吧
[00:08:34--00:08:37] 就是说我们想用一个summer去解决
[00:08:37--00:08:39] Vision想用另一个summer去解决language
[00:08:39--00:08:40] 然后我们把这些东西拼在一起
[00:08:40--00:08:41] 我们去做一个agent
[00:08:41--00:08:43] 然后他就比人聪明了
[00:08:43--00:08:45] 包括你去看图灵一开始的想法
[00:08:45--00:08:50] 就是说大家都会想去很自然的想要去build一个人或者build一个agent
[00:08:50--00:08:51] 但是这个事情太难了
[00:08:51--00:08:54] 所以我觉得逐渐的AI就变得非常碎片化
[00:08:54--00:08:57] 然后大家研究的问题也越来越小
[00:08:57--00:08:57] 对吧
[00:08:57--00:08:59] 就是说有些人去研究我怎么去解决
[00:08:59--00:09:01] 比如说Vision的这一小部分问题
[00:09:01--00:09:03] 或者去解决language的这一小部分问题
[00:09:03--00:09:04] 或者更细一步
[00:09:04--00:09:06] 就translation的这一小部分问题
[00:09:06--00:09:08] 最后就变得越来越细分
[00:09:08--00:09:10] 越来越vertical
[00:09:10--00:09:13] 但是我觉得115年以后
[00:09:13--00:09:16] 实际上skilling law的诞生
[00:09:16--00:09:19] 包括很多research breakthrough诞生
[00:09:19--00:09:20] 历史的大事
[00:09:20--00:09:23] 就是说我们应该从这种vertical thinking
[00:09:23--00:09:25] 重新回到一个更general的thinking
[00:09:25--00:09:30] 然后去试图构建一个更通用的系统
[00:09:30--00:09:31] 对
[00:09:31--00:09:34] 当你进入到agent系统做研究的时候
[00:09:34--00:09:35] 你意识到最重要的几个事情
[00:09:35--00:09:40] 就是当你要把语言模型让它行动起来
[00:09:40--00:09:41] 有一些收获吧
[00:09:41--00:09:45] 我觉得我第一年最大的收获就是说
[00:09:45--00:09:46] 要用GBT不要用BERT
[00:09:46--00:09:48] 然后这里解释一下
[00:09:48--00:09:49] 就可能现在已经很多人不知道什么是BERT
[00:09:49--00:09:54] 就是当时最火的语言这个领域最火的模型叫做BERT
[00:09:54--00:09:56] 然后他的想法就是说
[00:09:56--00:09:59] 我去学一个表示
[00:09:59--00:10:00] 就是说我有一句话
[00:10:00--00:10:03] 然后我可以通过某种方式学到这句话的一个表示
[00:10:03--00:10:06] 然后我可以通过这个表示做很多下游的任务
[00:10:06--00:10:10] 比如说去做一些单选题
[00:10:10--00:10:13] 或者去做一些这种基于选择的任务
[00:10:13--00:10:14] 对
[00:10:14--00:10:18] 然后当时我觉得可能95%的人在做BERT
[00:10:18--00:10:19] 然后可能只有
[00:10:19--00:10:21] 5%的人在做GBT
[00:10:21--00:10:22] 然后这也是因为当时
[00:10:22--00:10:27] 自然语言处理的主要的任务都是一些
[00:10:27--00:10:30] 比如我有一句话
[00:10:30--00:10:34] 然后这句话是积极的还是不积极的
[00:10:34--00:10:35] 比如说我很讨厌这个电影
[00:10:35--00:10:38] 这是一个负面的句子
[00:10:38--00:10:39] 就是做一些非常简单的这种事情
[00:10:39--00:10:41] 在这种事情上BERT确实效果更好
[00:10:41--00:10:43] 但是你会发现
[00:10:43--00:10:45] 如果你要做一个agent
[00:10:45--00:10:48] 你需要的不只是选择能力
[00:10:48--00:10:49] 而是去
[00:10:49--00:10:52] 自由产生新的动作的能力
[00:10:52--00:10:54] 当然如果你在玩围棋
[00:10:54--00:10:58] 或者你在玩视频游戏的话
[00:10:58--00:10:59] 你的选择是很有限的
[00:10:59--00:11:01] 比如你在玩马地奥兄弟
[00:11:01--00:11:03] 他可能就上下左右
[00:11:03--00:11:03] 对吧
[00:11:03--00:11:06] 但是你如果去玩一个基于语言的游戏
[00:11:06--00:11:09] 你的动作是自由的
[00:11:09--00:11:10] 比如说我在这个游戏里面
[00:11:10--00:11:13] 我可以用这个键杀这个怪兽
[00:11:13--00:11:15] 或者我可以去第三个房间
[00:11:15--00:11:17] 或者我可以用我的金色的钥匙
[00:11:17--00:11:19] 打开第一个房间的门
[00:11:19--00:11:22] 这个事情是BERT永远做不到的
[00:11:22--00:11:24] 所以我发现这个事情之后
[00:11:24--00:11:26] 我就再也没有用过BERT
[00:11:26--00:11:28] 我觉得第二个能力就是说
[00:11:28--00:11:30] 任务或者环境非常重要
[00:11:30--00:11:32] 就当你有一个非常差的任务的时候
[00:11:32--00:11:34] 你永远不可能学到非常好的东西
[00:11:34--00:11:35] 从某种程度来说
[00:11:35--00:11:38] 就当时有很多人在做
[00:11:38--00:11:39] 现在来看很简单的任务对吧
[00:11:39--00:11:41] 比如说这个句子是正面还是负面的
[00:11:41--00:11:44] 或者说我怎么去判断
[00:11:44--00:11:49] 比如说A这句话能不能导致B这句话是不是成立
[00:11:49--00:11:50] 当时这些任务看上去很难
[00:11:50--00:11:52] 但是其实现在看上去非常简单
[00:11:52--00:11:56] 我觉得首先你要找一个足够有挑战的任务
[00:11:56--00:12:01] 然后这个任务能够做出有本质的新的方法
[00:12:01--00:12:05] 然后实际上当时你想去做agent
[00:12:05--00:12:08] 或者想做语言的agent没有什么选择
[00:12:08--00:12:10] 可能你只能去做比如这些文字游戏
[00:12:10--00:12:13] 比如说Zork是一个非常经典的文字游戏
[00:12:13--00:12:17] 就是说你在一个基于文字的世界里面
[00:12:17--00:12:19] 就有点像一个互动的脚本一样
[00:12:19--00:12:22] 就是说你可以去往下走往上走
[00:12:22--00:12:23] 你可以去各个房间
[00:12:23--00:12:25] 你可以去做各种各样的事情
[00:12:25--00:12:28] 但是你会发现这个环境还有很多缺陷
[00:12:28--00:12:32] 就是说你能学到的东西是局限在这个环境里的
[00:12:32--00:12:34] 就这个环境还是不够大
[00:12:34--00:12:38] 而且你如果要用RL去学这个环境的话
[00:12:38--00:12:41] 那就会像用RL学传统的视频游戏一样
[00:12:41--00:12:44] 就是说你可以把这个游戏打通关
[00:12:44--00:12:48] 但它对于其他任何的任务没有任何的迁移作用
[00:12:48--00:12:48] 对吧
[00:12:48--00:12:49] 对把握气象特别好
[00:12:49--00:12:53] 但它对世界上任何其他事情没有任何价值
[00:12:53--00:12:57] 那我觉得就是可能我们需要一个更好的环境
[00:12:57--00:12:59] 你博士期间其实做了很多工作
[00:12:59--00:13:01] 而且很多知名度也很高
[00:13:01--00:13:03] 包括这种language agent
[00:13:03--00:13:04] 有react
[00:13:04--00:13:05] 有reflection
[00:13:05--00:13:06] 还有思维术
[00:13:06--00:13:08] 然后包括digital automation
[00:13:08--00:13:09] 数字自动化等等等等
[00:13:09--00:13:11] 就是这些研究的跨度大吗
[00:13:11--00:13:13] 他们之间的共性问题是什么
[00:13:13--00:13:17] 你是怎么按着你的兴趣点一步一步的去做他们的延伸的
[00:13:17--00:13:18] 我觉得从我看来
[00:13:18--00:13:21] 从我的角度是一个非常自然的过程
[00:13:21--00:13:24] 就是当我意识到环境有问题的时候
[00:13:24--00:13:31] 实际上我觉得我第一个比较重要的工作就是web shop
[00:13:31--00:13:32] 我觉得首先我们要解决一个环境问题
[00:13:32--00:13:35] 因为如果没有一个好的任务或者环境
[00:13:35--00:13:37] 那我把这个游戏刷的再高
[00:13:37--00:13:39] 其实我觉得没有意义
