[00:00:04--00:00:06] 我觉得给通用Editor换个描述方式
[00:00:06--00:00:09] 我觉得通用Editor比较好的描述方式应该是Editor OS
[00:00:09--00:00:11] 我觉得五年之内没有通用Editor
[00:00:11--00:00:12] 会有一个Editor OS
[00:00:12--00:00:18] 苹果是2001年推出的Apple的
[00:00:18--00:00:20] 在2000年的时候
[00:00:20--00:00:21] 它已经有苹果电脑
[00:00:21--00:00:22] 已经有操作系统
[00:00:22--00:00:24] 然后已经有软件的生态了
[00:00:24--00:00:26] 但那时候苹果的
[00:00:26--00:00:28] 我印象苹果的收入只有几十亿美金
[00:00:28--00:00:30] 对于苹果那个时代
[00:00:30--00:00:32] 其实我们的规模已经
[00:00:32--00:00:34] 做这些东西其实是个合理的了
[00:00:34--00:00:39] 上次我问你理想有理想吗
[00:00:39--00:00:40] 那这次想问你
[00:00:40--00:00:43] 你对理想的设想会不会太过于理想
[00:00:43--00:00:44] 我觉得我们
[00:00:44--00:00:49] 理想会因为什么消失
[00:00:49--00:00:51] 刚才我说的那三个点都会消失
[00:00:51--00:00:57] 对 然后一个卓越的组织
[00:00:57--00:00:59] 然后一个卓越的人
[00:00:59--00:01:01] 很多时候其实要跟人性做对抗
[00:01:01--00:01:09] Hello 大家好
[00:01:09--00:01:12] 欢迎收听张小军商业访谈录
[00:01:12--00:01:12] 我是小军
[00:01:12--00:01:15] 这是一档由语言及世界工作室出品的
[00:01:15--00:01:16] 深度访谈节目
[00:01:16--00:01:19] 我们希望和你一起从这里
[00:01:19--00:01:20] 探索新世界
[00:01:20--00:01:22] 2025年4月
[00:01:22--00:01:25] 我与理想创始人兼CEO理想录制
[00:01:25--00:01:26] AI Talk第二季
[00:01:26--00:01:29] 那次对谈持续了很长时间
[00:01:29--00:01:30] 播出版仅一个小时
[00:01:30--00:01:33] 今天你看到的是完整版
[00:01:33--00:01:35] 这期节目的发布比预期晚了一些
[00:01:35--00:01:37] 过去几个月实在太忙了
[00:01:37--00:01:39] 我一度犹豫要不要继续放出来
[00:01:39--00:01:42] 但是当我重新整理这些内容的时候
[00:01:42--00:01:43] 仍然被他所打动
[00:01:43--00:01:46] 这是一份关于人工智能技术变革的
[00:01:46--00:01:48] 节点式的思考存档
[00:01:48--00:01:50] 你可以结合2024年
[00:01:50--00:01:52] 我们那场三小时谈话一起观看
[00:01:52--00:01:54] 感受两次对话之间
[00:01:54--00:01:55] 思考的延展与呼应
[00:01:55--00:01:56] 这次呢
[00:01:56--00:01:59] 我把理想当作一个CEO大模型来提问
[00:01:59--00:02:02] 假设它是一种M1架构的模型
[00:02:02--00:02:03] 也就是专家混合模型
[00:02:03--00:02:05] 我们在对话的前三个回合
[00:02:05--00:02:07] 调用了他的三位专家
[00:02:07--00:02:08] 技术专家
[00:02:08--00:02:08] 战略专家
[00:02:08--00:02:09] 组织专家
[00:02:09--00:02:12] 而当谈话深入到后半程
[00:02:12--00:02:13] 我们开始谈论人
[00:02:13--00:02:14] 能量
[00:02:14--00:02:15] 亲密关系
[00:02:15--00:02:16] 记忆程序
[00:02:16--00:02:18] 与人类的智慧
[00:02:18--00:02:19] AI与人的关系
